id,created_at,district,avg_price_$,median_price_$,min_price_$,max_price_$,listings_count
202,2025-02-07 16:59:30.258489+00,Haret El Bellan,179999,179999,179999,179999,1
203,2025-02-07 16:59:30.376171+00,Haret El Sett,348000,348000,246000,450000,2
204,2025-02-07 16:59:30.479572+00,Haret Hreik,165000,165000,165000,165000,1
205,2025-02-07 16:59:30.577354+00,Haret Sakher,317249,255000,80000,1800000,40
206,2025-02-07 16:59:30.680606+00,Hasbaiyya Baabda,395000,395000,395000,395000,2
207,2025-02-07 16:59:30.790618+00,Hasbaya,69500,69500,69500,69500,1
208,2025-02-07 16:59:30.91207+00,Hazmieh,682016,525000,100000,2999999,116
209,2025-02-07 16:59:31.022743+00,Hboub,253820,175000,90000,2750000,117
210,2025-02-07 16:59:31.139488+00,Hbous,588636,425000,135000,2500000,11
211,2025-02-07 16:59:31.319921+00,Hemlaya,232500,232500,185000,280000,2
212,2025-02-07 16:59:31.426625+00,Horch Tabet,854499,520000,190000,4500000,20
213,2025-02-07 16:59:31.534132+00,Horsh Tabet,766666,815000,110000,1400000,6
214,2025-02-07 16:59:31.649288+00,Hosrayel,547857,130000,99999,3675000,14
215,2025-02-07 16:59:31.758016+00,Hotel Dieu,400000,400000,400000,400000,1
216,2025-02-07 16:59:31.866994+00,Hrajel,416000,250000,70000,1200000,5
217,2025-02-07 16:59:31.978772+00,Hsarat,300000,300000,300000,300000,1
218,2025-02-07 16:59:32.076699+00,Hsoun,808333,325000,100000,2000000,3
219,2025-02-07 16:59:32.179209+00,Ijdabra,230000,230000,230000,230000,1
220,2025-02-07 16:59:32.277355+00,Jaj,1372500,645000,200000,4000000,4
221,2025-02-07 16:59:32.386614+00,Jal el Dib,297976,240000,60000,3000000,87
222,2025-02-07 16:59:32.486003+00,Jamhour,489486,425000,140000,1400000,39
223,2025-02-07 16:59:32.586641+00,Jbeil,561119,220000,53000,10000000,172
224,2025-02-07 16:59:32.681967+00,Jdabra,150000,150000,150000,150000,1
225,2025-02-07 16:59:32.780989+00,Jdayel,302777,185000,100000,950000,9
226,2025-02-07 16:59:32.934392+00,Jdeideh,252124,205000,103000,1300000,32
227,2025-02-07 16:59:33.046171+00,Jeddayel,220000,220000,220000,220000,1
228,2025-02-07 16:59:33.152782+00,Jeita,375281,265000,130000,3500000,32
229,2025-02-07 16:59:33.320482+00,Jisr El Bacha,680000,470000,155000,1625000,4
230,2025-02-07 16:59:33.446461+00,Jnah,990434,900000,525000,2000000,23
231,2025-02-07 16:59:33.551886+00,Jounieh,1173189,275000,97500,17999999,29
232,2025-02-07 16:59:33.656864+00,Jouret Al Ballout,479138,199499,134999,6500000,36
233,2025-02-07 16:59:33.779798+00,Jouret El Termos,125000,125000,125000,125000,1
234,2025-02-07 16:59:33.88215+00,Jrebta,155000,155000,155000,155000,1
235,2025-02-07 16:59:34.013527+00,Kaakour,339000,350000,180000,487000,3
236,2025-02-07 16:59:34.147036+00,Kafarakab,230000,230000,230000,230000,1
237,2025-02-07 16:59:34.252792+00,Kaftoun,550000,550000,550000,550000,1
238,2025-02-07 16:59:34.383939+00,Kahale,2053332,287499,149999,11000000,6
239,2025-02-07 16:59:34.499022+00,Karakol Druz,225000,225000,225000,225000,1
240,2025-02-07 16:59:34.629075+00,Karantina,4190000,4190000,1480000,6900000,2
241,2025-02-07 16:59:34.744896+00,Kaskas,502857,460000,430000,790000,7
242,2025-02-07 16:59:34.853164+00,Kaslik,264749,249999,82999,600000,28
243,2025-02-07 16:59:34.965826+00,Kfar Aabida,1166611,265000,80000,12000000,18
244,2025-02-07 16:59:35.063346+00,Kfar Hata,840000,840000,840000,840000,1
