Address,Rent $/year,Type,Size m²,Bedrooms,Bathrooms
"Halat, Jbeil, Mount Lebanon",18000                        ,Apartment,125,3,3
"Bouchrieh, El Metn, Mount Lebanon",7200                        ,Apartment,160,2,2
"Batroun, Batroun, North",19200                        ,Apartment,70,1,1
"Fidar, Jbeil, Mount Lebanon",12000                        ,Apartment,200,3,3
"Ras Beirut, Beirut, Beirut",19200                        ,Apartment,164,3,4
"Blat, Jbeil, Mount Lebanon",12000                        ,Land,850,N/A,N/A
"Batroun, Batroun, North",8400                        ,Apartment,113,1,2
"Nahr Ibrahim, Jbeil, Mount Lebanon",12000                        ,Apartment,300,5,4
"Adma, Kesrouane, Mount Lebanon",4500                        ,Apartment,50,1,1
"Batroun, Batroun, North",12000                        ,Office,165,2,2
"Blat, Jbeil, Mount Lebanon",8400                        ,Apartment,120,1,2
"Fiyadiye, Baabda, Mount Lebanon",21000                        ,Office,120,1,N/A
"Fiyadiye, Baabda, Mount Lebanon",13000                        ,Shop,97,1,N/A
"Fiyadiye, Baabda, Mount Lebanon",18000                        ,Office,127,1,N/A
"Fiyadiye, Baabda, Mount Lebanon",20000                        ,Office,102,1,N/A
"Fiyadiye, Baabda, Mount Lebanon",90000                        ,Shop,550,N/A,N/A
"Bouchrieh, El Metn, Mount Lebanon",30000                        ,Warehouse,1200,1,N/A
"Jal el Dib, El Metn, Mount Lebanon",6600                        ,Office,70,1,N/A
"Antelias, El Metn, Mount Lebanon",10000                        ,Warehouse,400,1,N/A
"Mansourieh, El Metn, Mount Lebanon",14400                        ,Apartment,203,3,4
"Ras Beirut, Beirut, Beirut",24000                        ,Apartment,300,3,4
"Mtayleb, El Metn, Mount Lebanon",18000                        ,Shop,60,1,N/A
"Nahr Ibrahim, Jbeil, Mount Lebanon",7200                        ,Apartment,240,3,3
"Mansourieh, El Metn, Mount Lebanon",130000                        ,Land,3300,N/A,N/A
"New Rawda, El Metn, Mount Lebanon",11000                        ,Apartment,220,3,3
"Jbeil, Jbeil, Mount Lebanon",12000                        ,Shop,125,1,N/A
"Achrafieh, Beirut, Beirut",30000                        ,Shop,40,1,N/A
"Achrafieh, Beirut, Beirut",70000                        ,Shop,700,3,N/A
"Safra, Kesrouane, Mount Lebanon",30000                        ,Office,600,4,N/A
"chnaniir, Kesrouane, Mount Lebanon",72000                        ,House/Villa,1500,7,N/A
"Achrafieh, Beirut, Beirut",50000                        ,Office,300,3,N/A
"Down Town, Beirut, Beirut",50000                        ,Office,300,3,N/A
"Fatqa, Kesrouane, Mount Lebanon",12000                        ,Apartment,350,3,4
"Batroun, Batroun, North",6000                        ,Land,711,N/A,N/A
"Batroun, Batroun, North",6000                        ,Land,610,N/A,N/A
"Batroun, Batroun, North",6000                        ,Land,720,N/A,N/A
"Batroun, Batroun, North",6000                        ,Land,743,N/A,N/A
"Batroun, Batroun, North",6000                        ,Land,590,N/A,N/A
"Batroun, Batroun, North",6000                        ,Land,690,N/A,N/A
"Batroun, Batroun, North",6000                        ,Land,703,N/A,N/A
"Batroun, Batroun, North",6000                        ,Land,741,N/A,N/A
"Achrafieh, Beirut, Beirut",120000                        ,Land,2023,N/A,N/A
"Achrafieh, Beirut, Beirut",36000                        ,Apartment,230,2,3
"Sin El Fil, El Metn, Mount Lebanon",48000                        ,Land,2172,N/A,N/A
"Achrafieh, Beirut, Beirut",24000                        ,Apartment,170,3,3
"Zouk Mosbeh, Kesrouane, Mount Lebanon",24000                        ,Warehouse,500,1,N/A
"Monteverde, El Metn, Mount Lebanon",20400                        ,Apartment,220,3,4
"Rabieh, El Metn, Mount Lebanon",14400                        ,Apartment,280,4,4
"Dekweneh, El Metn, Mount Lebanon",20000                        ,Office,160,2,N/A
"Achrafieh, Beirut, Beirut",24000                        ,Apartment,215,2,3
"Achrafieh, Beirut, Beirut",24000                        ,Office,120,2,N/A
"Monteverde, El Metn, Mount Lebanon",26400                        ,Apartment,340,4,6
"Achrafieh, Beirut, Beirut",24000                        ,Shop,70,1,N/A
"Achrafieh, Beirut, Beirut",42000                        ,Apartment,170,3,3
"Jbeil, Jbeil, Mount Lebanon",36000                        ,Warehouse,800,3,N/A
"Blat, Jbeil, Mount Lebanon",4200                        ,Apartment,110,2,2
"Haret Sakher, Kesrouane, Mount Lebanon",9600                        ,Warehouse,300,2,N/A
"Jounieh, Kesrouane, Mount Lebanon",9600                        ,Office,80,1,N/A
"Bouchrieh, El Metn, Mount Lebanon",6000                        ,Office,100,1,N/A
"Jbeil, Jbeil, Mount Lebanon",12000                        ,Apartment,80,2,2
"Batroun, Batroun, North",130000                        ,Commercial Building,1773,N/A,N/A
"Batroun, Batroun, North",10000                        ,Shop,72,N/A,N/A
"Batroun, Batroun, North",36000                        ,Shop,255,N/A,N/A
"Batroun, Batroun, North",16000                        ,Warehouse,195,N/A,N/A
"Batroun, Batroun, North",10000                        ,Warehouse,125,N/A,N/A
"Batroun, Batroun, North",6200                        ,Office,75,N/A,N/A
"Batroun, Batroun, North",37000                        ,Office,83,N/A,N/A
"Batroun, Batroun, North",7300                        ,Office,88,N/A,N/A
"Batroun, Batroun, North",4800                        ,Office,58,N/A,N/A
"Batroun, Batroun, North",5000                        ,Office,60,N/A,N/A
"Achrafieh, Beirut, Beirut",13200                        ,Apartment,160,3,3
"Fakra, Kesrouane, Mount Lebanon",18000                        ,Chalet,75,2,2
"Kornet Chehwan, El Metn, Mount Lebanon",10200                        ,Apartment,230,3,3
"Achrafieh, Beirut, Beirut",18000                        ,Apartment,240,3,3
"Adma, Kesrouane, Mount Lebanon",24000                        ,Apartment,200,4,4
"Dora, El Metn, Mount Lebanon",8400                        ,Office,56,1,N/A
"Dora, El Metn, Mount Lebanon",54000                        ,Shop,495,2,N/A
"Dora, El Metn, Mount Lebanon",7800                        ,Office,117,1,N/A
"Achrafieh, Beirut, Beirut",24000                        ,Apartment,45,1,1
"Achrafieh, Beirut, Beirut",30000                        ,Apartment,65,1,1
"Zalka, El Metn, Mount Lebanon",10800                        ,Apartment,150,3,4
"Broumana, El Metn, Mount Lebanon",12000                        ,Apartment,275,3,4
"Broumana, El Metn, Mount Lebanon",16800                        ,Apartment,355,3,4
"Achrafieh, Beirut, Beirut",18000                        ,Apartment,176,3,3
"Achrafieh, Beirut, Beirut",21600                        ,Apartment,330,2,4
"Sahel Alma, Kesrouane, Mount Lebanon",12000                        ,Apartment,150,3,3
"Achrafieh, Beirut, Beirut",15600                        ,Apartment,110,2,2
"Achrafieh, Beirut, Beirut",70000                        ,Office,235,3,N/A
"Dekweneh, El Metn, Mount Lebanon",13000                        ,Office,115,2,N/A
"Jbeil, Jbeil, Mount Lebanon",36000                        ,Shop,600,N/A,N/A
"Jbeil, Jbeil, Mount Lebanon",6000                        ,Apartment,40,1,1
"Sahel Alma, Kesrouane, Mount Lebanon",13200                        ,Apartment,170,3,4
"Zouk Mosbeh, Kesrouane, Mount Lebanon",12000                        ,Office,80,1,N/A
"Achrafieh, Beirut, Beirut",7200                        ,Office,60,1,N/A
"Achrafieh, Beirut, Beirut",25000                        ,Apartment,300,3,4
"Kfarzebian, Kesrouane, Mount Lebanon",36000                        ,Chalet,130,2,3
"Ouyoun Al Simen, Kesrouane, Mount Lebanon",20000                        ,Chalet,150,3,3
"Bouar, Kesrouane, Mount Lebanon",7200                        ,Warehouse,1000,1,N/A
"Batroun, Batroun, North",3000                        ,Shop,75,1,N/A
"Jal el Dib, El Metn, Mount Lebanon",18000                        ,Office,170,2,N/A
