City,District,Province,Type,Size m²,Bedrooms,Bathrooms,Price $
Batroun,Batroun,North,Apartment,70,1,1,95000
Baabda,Baabda,Mount Lebanon,Apartment,330,4,7,800000
Baabda,Baabda,Mount Lebanon,Apartment,500,4,7,900000
Jouret Al Ballout,El Metn,Mount Lebanon,Apartment,150,3,2,199000
Jouret Al Ballout,El Metn,Mount Lebanon,Apartment,150,3,2,179000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,171,3,3,250000
Batroun,Batroun,North,Apartment,122,3,3,175000
Achrafieh,Beirut,Beirut,Apartment,230,3,3,460000
Blat,Jbeil,Mount Lebanon,Apartment,127,2,2,135000
Achrafieh,Beirut,Beirut,Apartment,373,4,5,1120000
Batroun,Batroun,North,Apartment,125,2,2,105000
Monteverde,El Metn,Mount Lebanon,Apartment,215,3,5,445000
Hboub,Jbeil,Mount Lebanon,Apartment,118,2,2,115000
Broumana,El Metn,Mount Lebanon,Apartment,140,2,3,250000
Al Jamhour,Baabda,Mount Lebanon,Apartment,210,3,4,340000
Rabieh,El Metn,Mount Lebanon,Apartment,340,3,4,550000
okaybe,Kesrouane,Mount Lebanon,Apartment,135,2,2,85000
Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,310,4,4,550000
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,250,3,3,160000
Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,320,4,4,650000
Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,320,4,4,650000
Hboub,Jbeil,Mount Lebanon,Apartment,180,3,3,155000
Jal el Dib,El Metn,Mount Lebanon,Apartment,260,4,4,265000
Halat,Jbeil,Mount Lebanon,Apartment,140,3,3,150000
Hboub,Jbeil,Mount Lebanon,Apartment,130,2,2,195000
Nabey,El Metn,Mount Lebanon,Apartment,140,3,2,168000
Nabey,El Metn,Mount Lebanon,Apartment,125,2,2,150000
Nabey,El Metn,Mount Lebanon,Apartment,205,3,3,246000
Achrafieh,Beirut,Beirut,Apartment,380,4,5,1050000
Achrafieh,Beirut,Beirut,Apartment,212,3,2,580000
Safra,Kesrouane,Mount Lebanon,Apartment,105,2,2,85000
Ghedras,Kesrouane,Mount Lebanon,Apartment,240,3,3,120000
Bhorsaf,El Metn,Mount Lebanon,Apartment,170,2,2,135000
Achrafieh,Beirut,Beirut,Apartment,370,3,4,1800000
Achrafieh,Beirut,Beirut,Apartment,500,4,5,2000000
Louaize,Baabda,Mount Lebanon,Apartment,427,4,5,750000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,260,3,5,450000
Fiyadiye,Baabda,Mount Lebanon,Apartment,137,2,4,160000
Down Town,Beirut,Beirut,Apartment,235,2,3,1200000
Aatchane,El Metn,Mount Lebanon,Apartment,130,3,3,209000
Aatchane,El Metn,Mount Lebanon,Apartment,136,3,3,242500
Aatchane,El Metn,Mount Lebanon,Apartment,137,3,3,205500
Baabdat,El Metn,Mount Lebanon,Apartment,180,3,3,140000
Tabarja,Kesrouane,Mount Lebanon,Apartment,110,2,2,550000
Jbeil,Jbeil,Mount Lebanon,Apartment,120,2,2,135000
Mastita,Jbeil,Mount Lebanon,Apartment,145,3,2,120000
Antelias,El Metn,Mount Lebanon,Apartment,170,2,3,120000
New Rawda,El Metn,Mount Lebanon,Apartment,150,3,2,125000
Kaslik,Kesrouane,Mount Lebanon,Apartment,160,2,2,215000
Aamchit,Jbeil,Mount Lebanon,Apartment,138,2,2,90000
Dik El Mehdi,El Metn,Mount Lebanon,Apartment,205,3,3,310000
Rabweh,El Metn,Mount Lebanon,Apartment,300,3,4,600000
Douar,El Metn,Mount Lebanon,Apartment,130,3,2,109000
Mazraat Yachouh,El Metn,Mount Lebanon,Apartment,250,3,4,430000
Achrafieh,Beirut,Beirut,Apartment,280,3,4,900000
Achrafieh,Beirut,Beirut,Apartment,150,2,3,500000
Bouchrieh,El Metn,Mount Lebanon,Apartment,330,3,3,270000
Ras Beirut,Beirut,Beirut,Apartment,350,3,3,850000
Batroun,Batroun,North,Apartment,150,3,2,105000
Batroun,Batroun,North,Apartment,175,3,3,175000
Baabda,Baabda,Mount Lebanon,Apartment,300,3,5,850000
Ras Beirut,Beirut,Beirut,Apartment,280,3,3,795000
Monteverde,El Metn,Mount Lebanon,Apartment,486,4,7,820000
Zouk Mikael,Kesrouane,Mount Lebanon,Apartment,130,2,2,156000
Halat,Jbeil,Mount Lebanon,Apartment,180,3,4,165000
Jal el Dib,El Metn,Mount Lebanon,Apartment,130,3,3,175000
Ain Saadeh,El Metn,Mount Lebanon,Apartment,200,4,4,325000
Ras Beirut,Beirut,Beirut,Apartment,323,4,5,1200000
Monteverde,El Metn,Mount Lebanon,Apartment,200,3,4,400000
Batroun,Batroun,North,Apartment,125,2,3,235000
Ain Saadeh,El Metn,Mount Lebanon,Apartment,315,2,3,410000
Ain Saadeh,El Metn,Mount Lebanon,Apartment,350,3,4,390000
Achrafieh,Beirut,Beirut,Apartment,185,3,3,450000
Ras Beirut,Beirut,Beirut,Apartment,410,3,4,1200000
Achrafieh,Beirut,Beirut,Apartment,170,3,3,400000
Achrafieh,Beirut,Beirut,Apartment,185,2,4,675000
Mansourieh,El Metn,Mount Lebanon,Apartment,200,3,3,220000
Mansourieh,El Metn,Mount Lebanon,Apartment,190,3,3,250000
Jbeil,Jbeil,Mount Lebanon,Apartment,180,2,2,625000
Hboub,Jbeil,Mount Lebanon,Apartment,165,3,3,150000
Jbeil,Jbeil,Mount Lebanon,Apartment,140,3,3,140000
Hboub,Jbeil,Mount Lebanon,Apartment,180,3,4,205000
Mansourieh,El Metn,Mount Lebanon,Apartment,105,2,3,195000
Mar Takla,Baabda,Mount Lebanon,Apartment,130,2,3,160000
Monteverde,El Metn,Mount Lebanon,Apartment,300,3,4,750000
Jbeil,Jbeil,Mount Lebanon,Apartment,155,3,3,171000
Fatqa,Kesrouane,Mount Lebanon,Apartment,245,4,4,245000
Achrafieh,Beirut,Beirut,Apartment,241,0,0,650000
Bentaael,Jbeil,Mount Lebanon,Apartment,180,3,3,175000
Baabdat,El Metn,Mount Lebanon,Apartment,240,3,4,375000
Baabdat,El Metn,Mount Lebanon,Apartment,170,3,4,260000
Monteverde,El Metn,Mount Lebanon,Apartment,210,3,4,440000
Monteverde,El Metn,Mount Lebanon,Apartment,314,3,6,690000
Monteverde,El Metn,Mount Lebanon,Apartment,190,3,4,465000
Halat,Jbeil,Mount Lebanon,Apartment,115,2,3,95000
Halat,Jbeil,Mount Lebanon,Apartment,310,4,3,350000
Beit Meri,El Metn,Mount Lebanon,Apartment,110,2,3,165000
Beit Meri,El Metn,Mount Lebanon,Apartment,170,3,4,328000
Beit Meri,El Metn,Mount Lebanon,Apartment,170,3,4,258400
Aamchit,Jbeil,Mount Lebanon,Apartment,160,3,3,220000
Achrafieh,Beirut,Beirut,Apartment,250,3,3,370000
Ain El Rimmaneh,Aley,Mount Lebanon,Apartment,162,3,3,250000
Baabdat,El Metn,Mount Lebanon,Apartment,160,3,3,200000
Aamchit,Jbeil,Mount Lebanon,Apartment,100,2,1,80000
Monteverde,El Metn,Mount Lebanon,Apartment,390,4,6,850000
Mansourieh,El Metn,Mount Lebanon,Apartment,180,3,4,200000
Mansourieh,El Metn,Mount Lebanon,Apartment,130,2,2,150000
Mansourieh,El Metn,Mount Lebanon,Apartment,122,2,3,208000
Fatqa,Kesrouane,Mount Lebanon,Apartment,100,2,2,95000
Zalka,El Metn,Mount Lebanon,Apartment,165,3,2,154000
Jounieh,Kesrouane,Mount Lebanon,Apartment,250,3,3,385000
Baabdat,El Metn,Mount Lebanon,Apartment,110,2,3,230000
Mar Moussa,El Metn,Mount Lebanon,Apartment,160,3,2,220000
Blat,Jbeil,Mount Lebanon,Apartment,110,2,2,135000
Dbayeh,El Metn,Mount Lebanon,Apartment,300,3,3,400000
Shayle,Kesrouane,Mount Lebanon,Apartment,188,3,3,245000
Dbayeh,El Metn,Mount Lebanon,Apartment,180,2,3,750000
Bsalim,El Metn,Mount Lebanon,Apartment,155,3,3,250000
Shayle,Kesrouane,Mount Lebanon,Apartment,300,3,4,250000
Aamchit,Jbeil,Mount Lebanon,Apartment,120,2,2,85000
Jbeil,Jbeil,Mount Lebanon,Apartment,220,3,3,250000
Batroun,Batroun,North,Apartment,165,3,3,140000
Ras Beirut,Beirut,Beirut,Apartment,257,4,3,240000
Aatchane,El Metn,Mount Lebanon,Apartment,270,3,3,700000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,240,3,5,550000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,240,3,5,450000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,245,3,5,500000
Mechmech,Jbeil,Mount Lebanon,Apartment,100,2,2,90000
Aamchit,Jbeil,Mount Lebanon,Apartment,150,3,2,145000
Aoukar,El Metn,Mount Lebanon,Apartment,350,3,5,245000
Haret Sakher,Kesrouane,Mount Lebanon,Apartment,220,3,3,160000
Jeita,Kesrouane,Mount Lebanon,Apartment,200,2,5,285000
Badaro,Beirut,Beirut,Apartment,350,3,6,800000
Monteverde,El Metn,Mount Lebanon,Apartment,211,3,3,353500
Monteverde,El Metn,Mount Lebanon,Apartment,207,3,3,363500
Ras Beirut,Beirut,Beirut,Apartment,245,4,3,800000
Monteverde,El Metn,Mount Lebanon,Apartment,211,3,3,316500
Monteverde,El Metn,Mount Lebanon,Apartment,207,3,3,403000
Monteverde,El Metn,Mount Lebanon,Apartment,360,4,5,648000
Monteverde,El Metn,Mount Lebanon,Apartment,309,4,5,600600
Adma,Kesrouane,Mount Lebanon,Apartment,160,3,3,180000
Ras Beirut,Beirut,Beirut,Apartment,190,3,2,385000
Adma,Kesrouane,Mount Lebanon,Apartment,200,3,4,250000
Achrafieh,Beirut,Beirut,Apartment,140,3,2,180000
Aamchit,Jbeil,Mount Lebanon,Apartment,202,3,4,225000
Jbeil,Jbeil,Mount Lebanon,Apartment,150,3,2,165000
Halat,Jbeil,Mount Lebanon,Apartment,146,2,2,150000
Jdeideh,El Metn,Mount Lebanon,Apartment,190,3,3,225000
Aamchit,Jbeil,Mount Lebanon,Apartment,105,3,2,80000
Aamchit,Jbeil,Mount Lebanon,Apartment,150,2,3,185000
Jbeil,Jbeil,Mount Lebanon,Apartment,300,3,3,250000
Jdayel,Jbeil,Mount Lebanon,Apartment,133,3,3,185000
Jdayel,Jbeil,Mount Lebanon,Apartment,133,3,3,190000
Rabieh,El Metn,Mount Lebanon,Apartment,175,3,3,225000
Beit Meri,El Metn,Mount Lebanon,Apartment,180,3,3,235000
Jbeil,Jbeil,Mount Lebanon,Apartment,174,3,3,185000
Baabda,Baabda,Mount Lebanon,Apartment,500,4,6,1700000
Beit El Kikko,El Metn,Mount Lebanon,Apartment,125,2,2,129000
Baabdat,El Metn,Mount Lebanon,Apartment,270,3,3,280000
Hosrayel,Jbeil,Mount Lebanon,Apartment,120,3,3,120000
Monteverde,El Metn,Mount Lebanon,Apartment,180,3,4,380000
Adma,Kesrouane,Mount Lebanon,Apartment,180,3,3,320000
Achrafieh,Beirut,Beirut,Apartment,105,2,3,315000
Shayle,Kesrouane,Mount Lebanon,Apartment,185,3,3,250000
Adma,Kesrouane,Mount Lebanon,Apartment,327,3,4,700000
Hboub,Jbeil,Mount Lebanon,Apartment,150,3,2,155000
Ras Beirut,Beirut,Beirut,Apartment,350,4,4,650000
Beit Meri,El Metn,Mount Lebanon,Apartment,180,3,3,277000
Beit Meri,El Metn,Mount Lebanon,Apartment,220,3,3,300000
Ras Beirut,Beirut,Beirut,Apartment,340,3,3,800000
Rabieh,El Metn,Mount Lebanon,Apartment,1200,5,8,2400000
Dik El Mehdi,El Metn,Mount Lebanon,Apartment,250,3,4,270000
Shayle,Kesrouane,Mount Lebanon,Apartment,214,3,3,200000
Jnah,Beirut,Beirut,Apartment,350,4,4,2000000
Hboub,Jbeil,Mount Lebanon,Apartment,105,2,2,95000
Mansourieh,El Metn,Mount Lebanon,Apartment,200,3,3,230000
Mansourieh,El Metn,Mount Lebanon,Apartment,80,1,1,140000
Mansourieh,El Metn,Mount Lebanon,Apartment,400,4,4,500000
Mansourieh,El Metn,Mount Lebanon,Apartment,200,3,3,250000
Kaslik,Kesrouane,Mount Lebanon,Apartment,300,4,3,600000
Halat,Jbeil,Mount Lebanon,Apartment,110,2,2,100000
Klayaat,Kesrouane,Mount Lebanon,Apartment,165,3,3,95000
Ras Beirut,Beirut,Beirut,Apartment,215,3,2,500000
Dik El Mehdi,El Metn,Mount Lebanon,Apartment,225,4,4,280000
Blat,Jbeil,Mount Lebanon,Apartment,300,4,4,170000
Mar Takla,Baabda,Mount Lebanon,Apartment,120,1,2,128000
Qartaboun,Jbeil,Mount Lebanon,Apartment,148,3,3,150000
Braij,Jbeil,Mount Lebanon,Apartment,115,2,2,100000
Baabdat,El Metn,Mount Lebanon,Apartment,320,3,6,425000
Blat,Jbeil,Mount Lebanon,Apartment,140,3,3,125000
Hboub,Jbeil,Mount Lebanon,Apartment,210,3,3,200000
Achrafieh,Beirut,Beirut,Apartment,120,2,2,480000
Ras Beirut,Beirut,Beirut,Apartment,280,3,3,500000
Achrafieh,Beirut,Beirut,Apartment,94,2,2,275000
Jdayel,Jbeil,Mount Lebanon,Apartment,125,3,2,100000
Ras Beirut,Beirut,Beirut,Apartment,140,3,2,240000
Aatchane,El Metn,Mount Lebanon,Apartment,266,4,5,580000
Klayaat,Kesrouane,Mount Lebanon,Apartment,300,3,4,250000
Adma,Kesrouane,Mount Lebanon,Apartment,300,4,4,420000
Antelias,El Metn,Mount Lebanon,Apartment,100,2,2,160000
Kfar Aabida,Batroun,North,Apartment,112,2,2,135000
Achrafieh,Beirut,Beirut,Apartment,277,4,3,650000
Yarzeh,Baabda,Mount Lebanon,Apartment,215,3,5,700000
Mansourieh,El Metn,Mount Lebanon,Apartment,400,3,4,269000
Jouret Al Ballout,El Metn,Mount Lebanon,Apartment,127,3,3,135000
Jouret Al Ballout,El Metn,Mount Lebanon,Apartment,120,2,2,215000
Jbeil,Jbeil,Mount Lebanon,Apartment,208,3,4,250000
Halat,Jbeil,Mount Lebanon,Apartment,265,3,4,275000
Dekweneh,El Metn,Mount Lebanon,Apartment,200,3,3,280000
Jounieh,Kesrouane,Mount Lebanon,Apartment,165,3,2,125000
Antelias,El Metn,Mount Lebanon,Apartment,175,3,3,250000
Achrafieh,Beirut,Beirut,Apartment,150,3,3,330000
Jbeil,Jbeil,Mount Lebanon,Apartment,135,3,2,120000
Achrafieh,Beirut,Beirut,Apartment,224,3,4,900000
Halat,Jbeil,Mount Lebanon,Apartment,220,2,3,185000
Nahr Ibrahim,Jbeil,Mount Lebanon,Apartment,1000,5,4,300000
Jal el Dib,El Metn,Mount Lebanon,Apartment,230,4,5,220000
Achrafieh,Beirut,Beirut,Apartment,210,3,4,700000
Zouk Mosbeh,Kesrouane,Mount Lebanon,Apartment,145,3,3,160000
Basbina,Batroun,North,Apartment,120,2,2,150000
Basbina,Batroun,North,Apartment,120,2,2,120000
Basbina,Batroun,North,Apartment,121,2,2,125000
Basbina,Batroun,North,Apartment,136,3,3,135000
Achrafieh,Beirut,Beirut,Apartment,270,3,4,475000
Adma,Kesrouane,Mount Lebanon,Apartment,320,3,4,500000
Gherfine,Jbeil,Mount Lebanon,Apartment,160,3,3,275000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,208,3,4,370000
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,252,3,5,600000
Zouk Mosbeh,Kesrouane,Mount Lebanon,Apartment,250,3,2,375000
Zouk Mosbeh,Kesrouane,Mount Lebanon,Apartment,163,3,3,125000
Achrafieh,Beirut,Beirut,Apartment,170,3,3,440000
Achrafieh,Beirut,Beirut,Apartment,220,2,3,750000
Achrafieh,Beirut,Beirut,Apartment,250,4,3,425000
Fanar,El Metn,Mount Lebanon,Apartment,250,3,3,350000
Dbayeh,El Metn,Mount Lebanon,Apartment,465,4,7,2500000
Adma,Kesrouane,Mount Lebanon,Apartment,170,3,3,135000
Batroun,Batroun,North,Apartment,150,3,2,120000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,220,3,4,320000
Baabdat,El Metn,Mount Lebanon,Apartment,330,3,4,475000
Mechmech,Jbeil,Mount Lebanon,Apartment,425,4,4,350000
Mar Takla,Baabda,Mount Lebanon,Apartment,310,3,4,625000
Bolonia,El Metn,Mount Lebanon,Apartment,95,1,2,85000
Beit Chabeb,El Metn,Mount Lebanon,Apartment,600,6,2,560000
Rabweh,El Metn,Mount Lebanon,Apartment,280,4,3,300000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,300,3,4,650000
Aamchit,Jbeil,Mount Lebanon,Apartment,200,3,3,170000
Achrafieh,Beirut,Beirut,Apartment,160,2,3,350000
Fatqa,Kesrouane,Mount Lebanon,Apartment,300,3,3,240000
Beit Meri,El Metn,Mount Lebanon,Apartment,300,3,3,500000
Batroun,Batroun,North,Apartment,150,3,3,110000
Ras Beirut,Beirut,Beirut,Apartment,170,3,2,1200000
Aamchit,Jbeil,Mount Lebanon,Apartment,140,3,2,140000
Adma,Kesrouane,Mount Lebanon,Apartment,480,4,5,950000
Achrafieh,Beirut,Beirut,Apartment,142,2,2,220000
Fatqa,Kesrouane,Mount Lebanon,Apartment,300,3,4,250000
Down Town,Beirut,Beirut,Apartment,270,3,3,1350000
Zikrit,El Metn,Mount Lebanon,Apartment,148,3,2,150000
Aamchit,Jbeil,Mount Lebanon,Apartment,145,3,2,100000
Shayle,Kesrouane,Mount Lebanon,Apartment,140,3,2,125000
Achrafieh,Beirut,Beirut,Apartment,171,3,3,260000
Ras Beirut,Beirut,Beirut,Apartment,230,3,3,900000
Dbayeh,El Metn,Mount Lebanon,Apartment,450,3,4,825000
Bsalim,El Metn,Mount Lebanon,Apartment,210,3,4,375000
Safra,Kesrouane,Mount Lebanon,Apartment,200,3,3,275000
Louaize,Baabda,Mount Lebanon,Apartment,215,3,4,385000
Ajaltoun,Kesrouane,Mount Lebanon,Apartment,250,3,3,150000
Achrafieh,Beirut,Beirut,Apartment,350,3,3,800000
Badaro,Beirut,Beirut,Apartment,400,4,3,900000
Aamchit,Jbeil,Mount Lebanon,Apartment,220,3,4,300000
Down Town,Beirut,Beirut,Apartment,280,3,4,1200000
Blat,Jbeil,Mount Lebanon,Apartment,120,2,2,100000
Ras Beirut,Beirut,Beirut,Apartment,420,3,4,1800000
Blat,Jbeil,Mount Lebanon,Apartment,220,3,2,100000
Bouar,Kesrouane,Mount Lebanon,Apartment,220,3,3,120000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,322,3,4,330000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,250,4,5,380000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,200,3,4,300000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,160,3,4,240000
Blat,Jbeil,Mount Lebanon,Apartment,140,3,3,130000
Down Town,Beirut,Beirut,Apartment,137,1,2,620000
Down Town,Beirut,Beirut,Apartment,255,3,3,1250000
Yarzeh,Baabda,Mount Lebanon,Apartment,720,5,7,1600000
Broumana,El Metn,Mount Lebanon,Apartment,278,3,3,300000
Bsalim,El Metn,Mount Lebanon,Apartment,330,3,5,525000
Zouk Mosbeh,Kesrouane,Mount Lebanon,Apartment,150,3,3,145000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,220,3,5,300000
Badaro,Beirut,Beirut,Apartment,420,4,3,1070000
Halat,Jbeil,Mount Lebanon,Apartment,120,2,2,165000
Badaro,Beirut,Beirut,Apartment,240,3,3,500000
Hboub,Jbeil,Mount Lebanon,Apartment,275,3,4,350000
Fakra,Kesrouane,Mount Lebanon,Apartment,130,2,3,215000
Achrafieh,Beirut,Beirut,Apartment,200,2,3,520000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,230,3,3,290000
Aamchit,Jbeil,Mount Lebanon,Apartment,190,3,3,210000
Badaro,Beirut,Beirut,Apartment,206,3,2,550000
Jounieh,Kesrouane,Mount Lebanon,Apartment,260,5,5,560000
Jounieh,Kesrouane,Mount Lebanon,Apartment,185,4,4,390000
Mastita,Jbeil,Mount Lebanon,Apartment,190,3,2,170000
Down Town,Beirut,Beirut,Apartment,120,1,2,650000
Biyada,El Metn,Mount Lebanon,Apartment,240,3,4,390000
Achrafieh,Beirut,Beirut,Apartment,125,2,2,280000
Beit el Chaar,El Metn,Mount Lebanon,Apartment,318,3,4,450000
Batroun,Batroun,North,Apartment,206,3,3,309000
Batroun,Batroun,North,Apartment,124,3,2,213000
Fanar,El Metn,Mount Lebanon,Apartment,600,6,5,400000
Adma,Kesrouane,Mount Lebanon,Apartment,255,3,4,380000
Braij,Jbeil,Mount Lebanon,Apartment,115,2,2,104000
Achrafieh,Beirut,Beirut,Apartment,210,3,4,575000
Achrafieh,Beirut,Beirut,Apartment,250,3,4,850000
Achrafieh,Beirut,Beirut,Apartment,415,4,5,1600000
Adma,Kesrouane,Mount Lebanon,Apartment,175,3,4,200000
Achrafieh,Beirut,Beirut,Apartment,100,1,1,225000
Fanar,El Metn,Mount Lebanon,Apartment,400,4,3,275000
Ain Saadeh,El Metn,Mount Lebanon,Apartment,240,3,3,275000
Down Town,Beirut,Beirut,Apartment,860,5,6,8000000
Shayle,Kesrouane,Mount Lebanon,Apartment,220,3,4,220000
Adma,Kesrouane,Mount Lebanon,Apartment,275,3,5,990000
Down Town,Beirut,Beirut,Apartment,347,3,4,1500000
Sin El Fil,El Metn,Mount Lebanon,Apartment,125,2,2,225000
Adma,Kesrouane,Mount Lebanon,Apartment,160,3,4,257000
Bouar,Kesrouane,Mount Lebanon,Apartment,120,2,2,132000
Achrafieh,Beirut,Beirut,Apartment,380,3,4,1600000
Kaslik,Kesrouane,Mount Lebanon,Apartment,225,3,4,270000
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,225,3,5,365000
Aamchit,Jbeil,Mount Lebanon,Apartment,135,2,2,180000
Achrafieh,Beirut,Beirut,Apartment,240,3,4,550000
Furn El Chebbak,Baabda,Mount Lebanon,Apartment,330,3,4,240000
Mar Takla,Baabda,Mount Lebanon,Apartment,350,3,4,650000
Ras Beirut,Beirut,Beirut,Apartment,482,4,5,1800000
Ras Beirut,Beirut,Beirut,Apartment,148,3,3,420000
Achrafieh,Beirut,Beirut,Apartment,230,3,3,750000
Mtayleb,El Metn,Mount Lebanon,Apartment,220,2,4,240000
Maaysra,Kesrouane,Mount Lebanon,Apartment,120,2,2,150000
Down Town,Beirut,Beirut,Apartment,473,4,6,3500000
Batroun,Batroun,North,Apartment,136,2,2,135000
Mtayleb,El Metn,Mount Lebanon,Apartment,340,3,4,395000
Adonis,Kesrouane,Mount Lebanon,Apartment,350,3,4,250000
Shayle,Kesrouane,Mount Lebanon,Apartment,120,2,2,120000
Achkout,Kesrouane,Mount Lebanon,Apartment,115,2,2,100000
Ras El Nabeh,Beirut,Beirut,Apartment,145,2,2,210000
Jbeil,Jbeil,Mount Lebanon,Apartment,150,3,3,185000
Batroun,Batroun,North,Apartment,40,1,1,75000
chnaniir,Kesrouane,Mount Lebanon,Apartment,171,3,3,275000
Adma,Kesrouane,Mount Lebanon,Apartment,180,3,3,310000
Gherfine,Jbeil,Mount Lebanon,Apartment,138,3,2,120000
Safra,Kesrouane,Mount Lebanon,Apartment,138,3,2,150000
Achrafieh,Beirut,Beirut,Apartment,175,3,3,500000
Ras Beirut,Beirut,Beirut,Apartment,615,4,4,3500000
Ras Beirut,Beirut,Beirut,Apartment,164,3,4,600000
Dbayeh,El Metn,Mount Lebanon,Apartment,120,3,2,165000
Batroun,Batroun,North,Apartment,56,1,1,130000
Jbeil,Jbeil,Mount Lebanon,Apartment,127,2,2,130000
Achrafieh,Beirut,Beirut,Apartment,370,3,4,1400000
Adma,Kesrouane,Mount Lebanon,Apartment,235,3,4,420000
Down Town,Beirut,Beirut,Apartment,484,4,5,3146000
Down Town,Beirut,Beirut,Apartment,562,3,4,3655000
Down Town,Beirut,Beirut,Apartment,428,3,4,2785000
Hboub,Jbeil,Mount Lebanon,Apartment,220,4,4,200000
Achrafieh,Beirut,Beirut,Apartment,500,4,5,2100000
Braij,Jbeil,Mount Lebanon,Apartment,200,3,3,110000
Adma,Kesrouane,Mount Lebanon,Apartment,310,4,6,775000
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,160,3,3,170000
Hazmieh,Baabda,Mount Lebanon,Apartment,180,3,4,320000
Down Town,Beirut,Beirut,Apartment,246,3,4,1500000
Down Town,Beirut,Beirut,Apartment,546,3,4,3000000
Al Jamhour,Baabda,Mount Lebanon,Apartment,237,4,6,430000
Achrafieh,Beirut,Beirut,Apartment,268,3,4,750000
Ras Beirut,Beirut,Beirut,Apartment,190,3,3,750000
Down Town,Beirut,Beirut,Apartment,500,4,5,2800000
Ras Beirut,Beirut,Beirut,Apartment,162,3,3,250000
Kaslik,Kesrouane,Mount Lebanon,Apartment,290,4,4,275000
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,185,3,3,425500
Adma,Kesrouane,Mount Lebanon,Apartment,300,4,5,700000
Ghine,Kesrouane,Mount Lebanon,Apartment,150,3,2,115000
Down Town,Beirut,Beirut,Apartment,350,3,4,2150000
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,205,3,3,235000
Ras Beirut,Beirut,Beirut,Apartment,550,4,5,3750000
Haret Sakher,Kesrouane,Mount Lebanon,Apartment,150,3,3,170000
Haret Sakher,Kesrouane,Mount Lebanon,Apartment,150,3,3,170000
Ras Beirut,Beirut,Beirut,Apartment,174,3,3,750000
Achrafieh,Beirut,Beirut,Apartment,220,2,3,635000
Dbayeh,El Metn,Mount Lebanon,Apartment,222,3,4,1200000
Hboub,Jbeil,Mount Lebanon,Apartment,160,3,2,105000
Ras Beirut,Beirut,Beirut,Apartment,250,3,4,1050000
Halat,Jbeil,Mount Lebanon,Apartment,300,4,5,300000
Dbayeh,El Metn,Mount Lebanon,Apartment,170,3,3,260000
Dbayeh,El Metn,Mount Lebanon,Apartment,170,3,3,300000
Ras Beirut,Beirut,Beirut,Apartment,300,4,4,970000
Ras Beirut,Beirut,Beirut,Apartment,500,4,4,1700000
Ras Beirut,Beirut,Beirut,Apartment,300,4,4,870000
Shayle,Kesrouane,Mount Lebanon,Apartment,268,3,4,340000
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,175,3,4,425000
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,180,3,4,420000
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,287,3,5,450000
Mastita,Jbeil,Mount Lebanon,Apartment,160,3,2,155000
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,160,3,3,140000
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,200,3,4,350000
Achrafieh,Beirut,Beirut,Apartment,240,4,3,380000
Achrafieh,Beirut,Beirut,Apartment,270,3,4,950000
Ras Beirut,Beirut,Beirut,Apartment,300,3,3,1100000
Kaslik,Kesrouane,Mount Lebanon,Apartment,160,3,4,300000
Haret Sakher,Kesrouane,Mount Lebanon,Apartment,232,3,4,560000
Achrafieh,Beirut,Beirut,Apartment,220,3,3,500000
Mansourieh,El Metn,Mount Lebanon,Apartment,255,3,5,250000
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,169,3,6,300000
Hboub,Jbeil,Mount Lebanon,Apartment,260,3,5,250000
Ras Beirut,Beirut,Beirut,Apartment,400,4,4,920000
Ras Beirut,Beirut,Beirut,Apartment,300,2,4,1500000
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,550,7,7,450000
Adma,Kesrouane,Mount Lebanon,Apartment,380,3,5,750000
Hboub,Jbeil,Mount Lebanon,Apartment,150,3,3,200000
Ras Beirut,Beirut,Beirut,Apartment,270,2,3,450000
