Date,Transaction_Number,City
Jun-12,556,"Tripoli, Akkar"
Jul-12,543,"Tripoli, Akkar"
Aug-12,391,"Tripoli, Akkar"
Sep-12,653,"Tripoli, Akkar"
Oct-12,629,"Tripoli, Akkar"
Nov-12,550,"Tripoli, Akkar"
Dec-12,674,"Tripoli, Akkar"
Jan-13,460,"Tripoli, Akkar"
Feb-13,422,"Tripoli, Akkar"
Mar-13,492,"Tripoli, Akkar"
Apr-13,603,"Tripoli, Akkar"
May-13,521,"Tripoli, Akkar"
Jun-13,490,"Tripoli, Akkar"
Jul-13,515,"Tripoli, Akkar"
Aug-13,454,"Tripoli, Akkar"
Sep-13,550,"Tripoli, Akkar"
Oct-13,466,"Tripoli, Akkar"
Nov-13,499,"Tripoli, Akkar"
Dec-13,561,"Tripoli, Akkar"
Jan-14,453,"Tripoli, Akkar"
Feb-14,537,"Tripoli, Akkar"
Mar-14,497,"Tripoli, Akkar"
Apr-14,597,"Tripoli, Akkar"
May-14,590,"Tripoli, Akkar"
Jun-14,548,"Tripoli, Akkar"
Jul-14,607,"Tripoli, Akkar"
Aug-14,545,"Tripoli, Akkar"
Sep-14,590,"Tripoli, Akkar"
Oct-14,445,"Tripoli, Akkar"
Nov-14,468,"Tripoli, Akkar"
Dec-14,556,"Tripoli, Akkar"
Jan-15,400,"Tripoli, Akkar"
Feb-15,415,"Tripoli, Akkar"
Mar-15,509,"Tripoli, Akkar"
Apr-15,471,"Tripoli, Akkar"
May-15,543,"Tripoli, Akkar"
Jun-15,519,"Tripoli, Akkar"
Jul-15,447,"Tripoli, Akkar"
Aug-15,611,"Tripoli, Akkar"
Sep-15,384,"Tripoli, Akkar"
Oct-15,514,"Tripoli, Akkar"
Nov-15,527,"Tripoli, Akkar"
Dec-15,555,"Tripoli, Akkar"
Jan-16,429,"Tripoli, Akkar"
Feb-16,507,"Tripoli, Akkar"
Mar-16,520,"Tripoli, Akkar"
Apr-16,489,"Tripoli, Akkar"
May-16,458,"Tripoli, Akkar"
Jun-16,475,"Tripoli, Akkar"
Jul-16,429,"Tripoli, Akkar"
Aug-16,530,"Tripoli, Akkar"
Sep-16,461,"Tripoli, Akkar"
Oct-16,548,"Tripoli, Akkar"
Nov-16,581,"Tripoli, Akkar"
Dec-16,586,"Tripoli, Akkar"
Jan-11,663,"Batroun, Koura, Ehden, Bcharre"
Feb-11,557,"Batroun, Koura, Ehden, Bcharre"
Mar-11,738,"Batroun, Koura, Ehden, Bcharre"
Apr-11,612,"Batroun, Koura, Ehden, Bcharre"
May-11,664,"Batroun, Koura, Ehden, Bcharre"
Jun-11,705,"Batroun, Koura, Ehden, Bcharre"
Jul-11,710,"Batroun, Koura, Ehden, Bcharre"
Aug-11,711,"Batroun, Koura, Ehden, Bcharre"
Sep-11,764,"Batroun, Koura, Ehden, Bcharre"
Oct-11,857,"Batroun, Koura, Ehden, Bcharre"
Nov-11,696,"Batroun, Koura, Ehden, Bcharre"
Dec-11,819,"Batroun, Koura, Ehden, Bcharre"
Jan-12,552,"Batroun, Koura, Ehden, Bcharre"
Feb-12,483,"Batroun, Koura, Ehden, Bcharre"
Mar-12,540,"Batroun, Koura, Ehden, Bcharre"
Apr-12,510,"Batroun, Koura, Ehden, Bcharre"
May-12,498,"Batroun, Koura, Ehden, Bcharre"
Jun-12,506,"Batroun, Koura, Ehden, Bcharre"
Jul-12,472,"Batroun, Koura, Ehden, Bcharre"
Aug-12,513,"Batroun, Koura, Ehden, Bcharre"
Sep-12,630,"Batroun, Koura, Ehden, Bcharre"
Oct-12,633,"Batroun, Koura, Ehden, Bcharre"
Nov-12,606,"Batroun, Koura, Ehden, Bcharre"
Dec-12,746,"Batroun, Koura, Ehden, Bcharre"
Jan-13,410,"Batroun, Koura, Ehden, Bcharre"
Feb-13,398,"Batroun, Koura, Ehden, Bcharre"
Mar-13,507,"Batroun, Koura, Ehden, Bcharre"
Apr-13,645,"Batroun, Koura, Ehden, Bcharre"
May-13,520,"Batroun, Koura, Ehden, Bcharre"
Jun-13,575,"Batroun, Koura, Ehden, Bcharre"
Jul-13,648,"Batroun, Koura, Ehden, Bcharre"
Aug-13,899,"Batroun, Koura, Ehden, Bcharre"
Sep-13,484,"Batroun, Koura, Ehden, Bcharre"
Oct-13,575,"Batroun, Koura, Ehden, Bcharre"
Nov-13,586,"Batroun, Koura, Ehden, Bcharre"
Dec-13,660,"Batroun, Koura, Ehden, Bcharre"
Jan-14,73,"Batroun, Koura, Ehden, Bcharre"
Feb-14,544,"Batroun, Koura, Ehden, Bcharre"
Mar-14,480,"Batroun, Koura, Ehden, Bcharre"
Apr-14,576,"Batroun, Koura, Ehden, Bcharre"
May-14,621,"Batroun, Koura, Ehden, Bcharre"
Jun-14,595,"Batroun, Koura, Ehden, Bcharre"
Jul-14,393,"Batroun, Koura, Ehden, Bcharre"
Aug-14,600,"Batroun, Koura, Ehden, Bcharre"
Sep-14,632,"Batroun, Koura, Ehden, Bcharre"
Oct-14,672,"Batroun, Koura, Ehden, Bcharre"
Nov-14,592,"Batroun, Koura, Ehden, Bcharre"
Dec-14,694,"Batroun, Koura, Ehden, Bcharre"
Jan-15,431,"Batroun, Koura, Ehden, Bcharre"
Feb-15,469,"Batroun, Koura, Ehden, Bcharre"
Mar-15,600,"Batroun, Koura, Ehden, Bcharre"
Apr-15,524,"Batroun, Koura, Ehden, Bcharre"
May-15,527,"Batroun, Koura, Ehden, Bcharre"
Jun-15,591,"Batroun, Koura, Ehden, Bcharre"
Jul-15,569,"Batroun, Koura, Ehden, Bcharre"
Aug-15,629,"Batroun, Koura, Ehden, Bcharre"
Sep-15,576,"Batroun, Koura, Ehden, Bcharre"
Oct-15,643,"Batroun, Koura, Ehden, Bcharre"
Nov-15,563,"Batroun, Koura, Ehden, Bcharre"
Dec-15,612,"Batroun, Koura, Ehden, Bcharre"
Jan-16,511,"Batroun, Koura, Ehden, Bcharre"
Feb-16,564,"Batroun, Koura, Ehden, Bcharre"
Mar-16,499,"Batroun, Koura, Ehden, Bcharre"
Apr-16,519,"Batroun, Koura, Ehden, Bcharre"
May-16,457,"Batroun, Koura, Ehden, Bcharre"
Jun-16,445,"Batroun, Koura, Ehden, Bcharre"
Jul-16,503,"Batroun, Koura, Ehden, Bcharre"
Aug-16,582,"Batroun, Koura, Ehden, Bcharre"
Sep-16,555,"Batroun, Koura, Ehden, Bcharre"
Oct-16,572,"Batroun, Koura, Ehden, Bcharre"
Nov-16,604,"Batroun, Koura, Ehden, Bcharre"
Dec-16,603,"Batroun, Koura, Ehden, Bcharre"
Jan-11,539,Bekaa
Feb-11,608,Bekaa
Mar-11,915,Bekaa
Apr-11,704,Bekaa
May-11,799,Bekaa
Jun-11,924,Bekaa
Jul-11,762,Bekaa
Aug-11,731,Bekaa
Sep-11,753,Bekaa
Oct-11,839,Bekaa
Nov-11,752,Bekaa
Dec-11,1066,Bekaa
Jan-12,666,Bekaa
Feb-12,396,Bekaa
Mar-12,591,Bekaa
Apr-12,712,Bekaa
May-12,749,Bekaa
Jun-12,674,Bekaa
Jul-12,661,Bekaa
Aug-12,713,Bekaa
Sep-12,825,Bekaa
Oct-12,774,Bekaa
Nov-12,724,Bekaa
Dec-12,948,Bekaa
Jan-13,586,Bekaa
Feb-13,663,Bekaa
Mar-13,670,Bekaa
Apr-13,863,Bekaa
May-13,775,Bekaa
Jun-13,722,Bekaa
Jul-13,746,Bekaa
Aug-13,709,Bekaa
Sep-13,892,Bekaa
Oct-13,757,Bekaa
Nov-13,842,Bekaa
Dec-13,742,Bekaa
Jan-14,593,Bekaa
Feb-14,634,Bekaa
Mar-14,691,Bekaa
Apr-14,727,Bekaa
May-14,716,Bekaa
Jun-14,663,Bekaa
Jul-14,508,Bekaa
Aug-14,893,Bekaa
Sep-14,936,Bekaa
Oct-14,784,Bekaa
Nov-14,810,Bekaa
Dec-14,145,Bekaa
Jan-15,357,Bekaa
Feb-15,477,Bekaa
Mar-15,762,Bekaa
Apr-15,698,Bekaa
May-15,759,Bekaa
Jun-15,756,Bekaa
Jul-15,704,Bekaa
Aug-15,965,Bekaa
Sep-15,803,Bekaa
Oct-15,762,Bekaa
Nov-15,710,Bekaa
Dec-15,962,Bekaa
Jan-16,536,Bekaa
Feb-16,729,Bekaa
Mar-16,784,Bekaa
Apr-16,807,Bekaa
May-16,602,Bekaa
Jun-16,636,Bekaa
Jul-16,689,Bekaa
Aug-16,911,Bekaa
Sep-16,800,Bekaa
Oct-16,903,Bekaa
Nov-16,1030,Bekaa
Dec-16,837,Bekaa
Jan-11,545,Saida
Feb-11,558,Saida
Mar-11,742,Saida
Apr-11,715,Saida
May-11,799,Saida
Jun-11,772,Saida
Jul-11,789,Saida
Aug-11,767,Saida
Sep-11,711,Saida
Oct-11,898,Saida
Nov-11,744,Saida
Dec-11,1170,Saida
Jan-12,594,Saida
Feb-12,540,Saida
Mar-12,749,Saida
Apr-12,571,Saida
May-12,642,Saida
Jun-12,704,Saida
Jul-12,672,Saida
Aug-12,635,Saida
Sep-12,762,Saida
Oct-12,663,Saida
Nov-12,884,Saida
Dec-12,1248,Saida
Jan-13,483,Saida
Feb-13,483,Saida
Mar-13,426,Saida
Apr-13,718,Saida
May-13,607,Saida
Jun-13,610,Saida
Jul-13,667,Saida
Aug-13,577,Saida
Sep-13,583,Saida
Oct-13,690,Saida
Nov-13,653,Saida
Dec-13,757,Saida
Jan-14,607,Saida
Feb-14,553,Saida
Mar-14,627,Saida
Apr-14,566,Saida
May-14,595,Saida
Jun-14,539,Saida
Jul-14,699,Saida
Aug-14,734,Saida
Sep-14,812,Saida
Oct-14,753,Saida
Nov-14,687,Saida
Dec-14,852,Saida
Jan-15,404,Saida
Feb-15,425,Saida
Mar-15,603,Saida
Apr-15,556,Saida
May-15,586,Saida
Jun-15,625,Saida
Jul-15,536,Saida
Aug-15,660,Saida
Sep-15,668,Saida
Oct-15,701,Saida
Nov-15,669,Saida
Dec-15,766,Saida
Jan-16,493,Saida
Feb-16,573,Saida
Mar-16,655,Saida
Apr-16,608,Saida
May-16,499,Saida
Jun-16,568,Saida
Jul-16,596,Saida
Aug-16,743,Saida
Sep-16,612,Saida
Oct-16,685,Saida
Nov-16,612,Saida
Dec-16,823,Saida
Jan-11,400,Nabatieh
Feb-11,462,Nabatieh
Mar-11,545,Nabatieh
Apr-11,467,Nabatieh
May-11,577,Nabatieh
Jun-11,562,Nabatieh
Jul-11,560,Nabatieh
Aug-11,510,Nabatieh
Sep-11,606,Nabatieh
Oct-11,696,Nabatieh
Nov-11,490,Nabatieh
Dec-11,812,Nabatieh
Jan-12,437,Nabatieh
Feb-12,526,Nabatieh
Mar-12,576,Nabatieh
Apr-12,493,Nabatieh
May-12,594,Nabatieh
Jun-12,549,Nabatieh
Jul-12,513,Nabatieh
Aug-12,534,Nabatieh
Sep-12,699,Nabatieh
Oct-12,613,Nabatieh
Nov-12,503,Nabatieh
Dec-12,731,Nabatieh
Jan-13,486,Nabatieh
Feb-13,401,Nabatieh
Mar-13,486,Nabatieh
Apr-13,624,Nabatieh
May-13,539,Nabatieh
Jun-13,474,Nabatieh
Jul-13,474,Nabatieh
Aug-13,477,Nabatieh
Sep-13,640,Nabatieh
Oct-13,493,Nabatieh
Nov-13,547,Nabatieh
Dec-13,601,Nabatieh
Jan-14,411,Nabatieh
Feb-14,505,Nabatieh
Mar-14,577,Nabatieh
Apr-14,661,Nabatieh
May-14,613,Nabatieh
Jun-14,630,Nabatieh
Jul-14,480,Nabatieh
Aug-14,656,Nabatieh
Sep-14,701,Nabatieh
Oct-14,586,Nabatieh
Nov-14,531,Nabatieh
Dec-14,577,Nabatieh
Jan-15,372,Nabatieh
Feb-15,462,Nabatieh
Mar-15,515,Nabatieh
Apr-15,493,Nabatieh
May-15,527,Nabatieh
Jun-15,535,Nabatieh
Jul-15,407,Nabatieh
Aug-15,597,Nabatieh
Sep-15,568,Nabatieh
Oct-15,587,Nabatieh
Nov-15,587,Nabatieh
Dec-15,653,Nabatieh
Jan-16,487,Nabatieh
Feb-16,533,Nabatieh
Mar-16,559,Nabatieh
Apr-16,589,Nabatieh
May-16,482,Nabatieh
Jun-16,437,Nabatieh
Jul-16,464,Nabatieh
Aug-16,621,Nabatieh
Sep-16,531,Nabatieh
Oct-16,578,Nabatieh
Nov-16,637,Nabatieh
Dec-16,588,Nabatieh
