Title,Price,Bedroom,Bathroom,Area sqm,DistrictID,Furnished,ProvinceID,Community_id
Apartment 190m² Mountain View For SALE In Louaizeh,285000,3,4,190,15,no,6,1200
Apartment for sale in Naccache,900000,4,4,450,24,no,6,1265
Land For Sale in Ain Saadeh. 500$/sqm,980000,,,1959,24,no,6,1337
Apartment for sale in bsalim,315000,4,4,265,24,yes,6,393
Chalet for sale in 3S/ Ouyoun El Simen,420000,3,2,130,32,no,6,1125
Chalet for sale in 3S/ Ouyoun El Simen,350000,2,2,110,32,no,6,1125
Chalet for sale in Faqra/ Garden/ Furnished,850000,5,6,390,32,yes,6,1089
Spacious Fully Furnished Apartment,475000,3,3,190,28,yes,2,424
Apartment For Sale in Mar elias,390000,3,2,200,28,no,2,504
Apartment for sale in Monteverde,430000,4,4,364,24,no,6,324
Apartment 300m² Sea View For SALE In Sahel Alma,419999,3,5,300,32,no,6,472
Brand New Duplex Apartment for Sale in Monteverde,720000,4,4,314,24,no,6,324
Brand New Apartment for Sale in Monteverde,480000,3,3,190,24,no,6,324
Apartment for sale in Biyada,430000,3,3,284,24,yes,6,796
Apartment for sale in Ain Aar,230000,3,3,170,24,no,6,1084
Apartment for sale in Kornet Chehwan,450000,3,4,285,24,no,6,684
Chalet in a prime location of Faqra Club.,550000,3,2,170,32,no,6,1089
Brand New Apartment with Garden for Sale in Monteverde,455000,3,3,210,24,no,6,324
Brand New Apartment for Sale in Monteverde,440000,3,3,190,24,no,6,324
Great Catch | Duplex,300000,3,4,240,24,no,6,1230
Unique New Built Apartment in Zalka for sale,190000,3,3,180,24,no,6,1086
New! Spacious 240Sqm apartment for Sale in Beit el Chaar!,290000,3,3,240,24,no,6,175
Spacious Charming Apartment | Great Location,1150000,2,4,210,28,no,2,105
Cozy apartment with garden for sale in Qennabet Baabdat,160000,2,2,168,24,no,6,2094
3 BR with terrace for sale in Qennabet Baabdat,175000,3,4,198,24,no,6,2094
Spacious Apartment For Sale | 270 Sqm,750000,3,5,270,28,no,2,352
Chalet for sale in Faraya/Furnished,250000,2,2,120,32,yes,6,688
Land for sale in Qanat Bakish,190000,,,950,32,no,6,1053
Exclusive 125Sqm Prime 2-Bed Apartment in Dik el Mehdi: Highest specs building!,200000,2,3,125,24,no,6,212
Exclusive Prime location 150Sqm Apartment for Sale! Modern with highest Specs Building,260000,3,3,150,24,no,6,212
Duplex for sale in Mtayleb 430m² + 300m² outdoor including swimming Pool - Payment facility -,465000,5,5,530,24,no,6,760
Penthouse | Terrace | Open Kitchen | Beautiful view,550000,2,2,220,28,yes,2,169
Brand new apartment in a prime location!,275000,3,3,180,24,yes,6,175
Amazing Duplex Penthouse | High End Finishing | Park View,2000000,3,4,400,28,no,2,535
Full marina view apartment for sale in Waterfront City,680000,2,4,157,24,yes,6,1230
Apartment for Sale in Ain Saadeh,300000,3,3,250,24,no,6,1337
Spacious Apartment | Balcony | Prime location,350000,4,4,400,15,yes,6,292
Spacious  mid floor apartment Achrafieh,280000,3,4,200,28,no,2,969
Spacious Apartment | Central Location,270000,3,3,250,15,yes,6,473
"Brand New Apartment For Sale in Mar Chaaya, 220 sqm",350000,3,4,220,24,no,6,1302
Amazing Property | Prime Location | Pool | Gym,1800000,4,4,425,28,no,2,969
Spacious and Sunny Apartment | Great Location,630000,3,3,195,28,yes,2,969
High Floor | Shared Gym | Unblockable Sea&Mountain View,2375000,4,6,490,28,no,2,969
Flat in a prime location of Mtayleb,514999,3,4,370,24,no,6,760
High Finishing for new built in Jal El Dib For Sale,300000,3,4,210,24,no,6,939
Deluxe Apartment with Great View,450000,3,4,200,24,no,6,867
Amazing Chalet in Faqra For Sale,350000,2,2,90,32,yes,6,1089
Apartment for sale in bsalim,230000,3,3,150,24,no,6,393
Apartment for sale in bsalim.,230000,3,3,150,24,no,6,393
Apartment for sale in bsalim,125000,2,2,110,24,no,6,393
Building Under Construction for Sale!!!!,700000,8,8,1300,24,no,6,867
Modern Trendy Apartment | Gorgeous Open Sea View,580000,2,2,145,28,yes,2,569
Glorious wide Home in Amaret Chalhoub for sale,375000,4,3,375,24,no,6,1086
Apartment for sale in rabweh,110000,2,2,123,24,yes,6,905
Beautiful Luxurious apartment for sale in Blaybel.,155000,2,2,113,13,yes,6,1277
High-End Modern Garden Biyada Apartment,750000,3,5,400,24,no,6,796
Fully Furnished Duplex for Sale in Monteverde,950000,5,5,350,24,yes,6,324
Land  for Sale In Monteverde,950000,,,1147,24,no,6,324
Beautiful Apartment for Sale in Achrafieh,300000,3,3,150,28,no,2,969
Elegant Flat | Gorgeous Kitchen | Huge Terrace,750000,3,3,310,28,yes,2,969
New Duplex Apartment for Sale in Biyada,770000,3,5,385,24,no,6,796
Prime Location Biyada Sale Apartment,330000,3,4,265,24,yes,6,796
Spacious Biyada Apartment for Sale,450000,3,4,450,24,no,6,796
Huge Apartment in Biyada for Sale,850000,4,5,450,24,no,6,796
Marina View | Central | Unique,6500000,5,8,917,28,no,2,535
Prime Location Biyada 200Sqm Apartment,335000,3,4,200,24,no,6,796
Chalet for sale in Faraya/ Furnished/ Garden,475000,3,3,220,32,yes,6,688
Massive Biyada apartment for Sale 480Sqm!,650000,4,6,480,24,no,6,796
Land for sale in Faqra,749000,,,940,32,no,6,1089
Land for sale in Naas,687000,,,1721,24,no,6,1051
Land for sale in Faqra Club,410000,,,1025,32,no,6,1089
Land for sale in Ouyoun El Simane/ View/ Refuge,590000,,,550,32,no,6,1125
Charming Apartment in Rabieh for sale,450000,3,3,230,24,yes,6,723
Apartment for sale in bsalim,195000,3,3,150,24,no,6,393
Spacious Apartment | Great Location,650000,3,4,270,28,yes,2,969
4-Bed Apt in Dik El Mehdi | Gated Community,450000,4,4,350,24,yes,6,212
Brand New Apartment for Sale in Monteverde with Garden,525000,3,4,300,24,no,6,324
A beautiful Land for sale in Ain Anoub,250000,,,1000,13,no,6,696
Beautiful land for sale in Aitat,290000,,,1127,13,no,6,80
Elegant Apartment For Sale in Badaro,480000,4,5,250,28,partly,2,577
Apartment for sale in Rabieh/furnished,650000,4,4,480,24,yes,6,723
Hemlaya Land with panoramic view for sale!,280000,,,1350,24,no,6,34
Apartment for sale in Rabieh/ View,1700000,4,4,663,24,no,6,723
Apartment for sale in Deik El Mehdi/ View,310000,3,3,365,24,no,6,212
Apartment for Sale in Monteverde with Terrace and Garden,650000,3,3,325,24,no,6,324
Huge Apartment | Calm | Peaceful Neighborhood,1600000,4,5,400,28,no,2,535
1 BR Apartment for Sale I Prime Location I Hot Investment,380000,1,1,60,28,no,2,105
Spacious Charming Apartment | Great Location,270000,3,3,180,15,no,6,1200
Unique luxurious apartment for sale in Yarzeh|Garden,1150000,4,6,600,15,partly,6,292
Brand new apartments for sale in Bchamoun,140000,3,3,150,13,no,6,115
Beautiful land for sale in Abadiyye,175000,,,700,13,no,6,370
Exceptional Land in Naas Bickfaya For Sale,1000000,,,2000,24,no,6,1051
New Built Apartment in Biakout for Sale,240000,3,3,180,24,no,6,139
Apartment 300m² + Terrace For SALE In Monteverde,1099999,3,5,300,24,yes,6,324
Exceptional Land in Baabdat For Sale,520000,,,1300,24,no,6,793
"140 SQM Prime Location Apartment in Bsalim, Metn",130000,3,3,140,24,no,6,393
luxurious New Built Apartment in Jal El Dib For Sale,270000,3,4,146,24,no,6,939
Brand New Apartment / Sea View for sale in Jal El Dib,200000,2,2,111,24,no,6,939
New!! Apartment 310Sqm + 350Sqm Garden for Sale!,510000,3,3,310,24,no,6,175
Land in Rabwe for Sale,520000,,,525,24,no,6,796
Apartment in El Biyada for Sale,390000,3,4,275,24,no,6,796
High End | Great Location,1850000,4,5,325,28,no,2,535
Mtayleb's finest 700Sqm massive Duplex for Sale!!,1000000,5,5,700,24,no,6,760
Modern 150Sqm Apartment for sale in Dik el Mehdi,230000,3,3,150,24,no,6,212
Land for sale in Anfeh/ Seaview,1400000,,,800,18,no,3,1248
Modern Loft | Pool & Gym | Terrace,940000,3,4,330,28,no,2,969
Apartment for sale in Biyada/ View,500000,3,3,225,24,no,6,796
Apartment in El Biyada for Sale,465000,4,4,450,24,no,6,796
Duplex for sale in Bsalim,470000,4,4,375,24,no,6,393
Apartment for sale in bsalim,140000,2,3,200,24,partly,6,393
Luxury Duplex Chalet- Faqra,300000,3,3,166,32,yes,6,1089
Great Finishing | Duplex | Terrace | Breathtaking View,750000,3,4,280,28,no,2,969
New Apt.| New Bldg. | Perfect Location,300000,2,2,108,28,no,2,969
New Furnished Apt |.| Pool & Gym | Stunning View,349000,2,2,88,28,no,2,969
Amazing Flat | Large Balcony | Stunning View.,450000,2,2,180,28,no,2,969
Spacious Brand New Apartment | Close to the Sea,750000,3,4,225,28,no,2,1339
Apartment for sale in Broumana/ View,450000,3,3,230,24,no,6,1301
Apartment 260m² + Garden For SALE In Adma,449999,3,4,260,32,no,6,72
Apartment 220Sqm for sale in Mtayleb,365000,3,3,220,24,partly,6,760
Duplex Apartment for Sale in Monteverde,450000,3,4,285,24,no,6,324
Apartment for Sale in Monteverde,420000,3,3,290,24,no,6,324
Beautifuly Furnished | Great Area,400000,4,4,274,15,yes,6,74
Les Domes De Sursock | 600 Sqm | For Sale,3000000,4,6,600,28,no,2,969
Spacious | Aprt For Sale | In Verdun,3500000,4,6,920,28,no,2,795
Luxury 2 bedroom Chalet for sale in Mzaar,225000,2,2,90,32,yes,6,688
Spacious Apartment with Stunning Sea Views in Beit El Chaar!,325000,3,3,200,24,yes,6,175
Stunning Duplex Apartment in Dbayeh!,250000,3,3,210,24,no,6,1230
Elegant Apartment | Open Kitchen,450000,2,2,120,24,yes,6,396
Apartment for sale in Elissar,410000,3,6,335,24,no,6,542
Luxurious Villa + Swimming for sale in Dahr Souwan,1100000,5,5,600,24,no,6,867
Elegant Apartment in Jal El Dib for sale,200000,3,4,350,24,yes,6,939
Amazing Flat | Great Location,600000,5,2,300,15,yes,6,74
Spacious Duplex with Panoramic View in Biyada - Ideal Renovation Opportunity,400000,4,4,265,24,yes,6,796
Brand New Apartment with Partial Sea View in Qornet Chehouane,680000,3,3,350,24,no,6,684
Apartment For Sale in Fanar With Garden,350000,3,5,400,24,no,6,66
Luxurious Duplex with Breathtaking Views in Prime Rabieh Location,1100000,4,6,435,24,no,6,723
Elegant Ground Floor Apartment with Expansive Outdoor Space in Rabieh,980000,3,5,400,24,no,6,723
Apartment for sale in Biyada/ Duplex,1300000,5,7,717,24,yes,6,796
Private Garden | 24/7 Electricity | In Downtown,2500000,3,4,450,28,yes,2,535
Apartment for Sale in Mansourieh,170000,3,3,150,24,no,6,140
Prestigious apartment In Jal El Dib For Sale,325000,3,4,275,24,yes,6,939
Villa for sale in Broumana Mar Chaaya,5000000,5,6,1130,24,yes,6,1302
Apartment fo sale in Biyada/ View,875000,3,4,300,24,no,6,796
Apartment for sale in Mtayleb/ View,480000,3,3,240,24,no,6,760
Luxury Apartment for sale in Rabieh/ Decorated/Furnished,1500000,3,4,635,24,yes,6,723
Apartment for sale in Kornet Chehwan/Terrace/New,627000,3,3,274,24,no,6,684
Chalet for sale in Faqra/ Furnished/Decorated/ View,700000,3,3,208,32,yes,6,1089
Villa for sale in Faqra/ View/Pool/Huge,6500000,5,7,2000,32,yes,6,1089
Apartment for sale in Elissar,530000,4,4,400,24,no,6,542
Huge Apartment | Calm Area,750000,3,3,400,24,no,6,723
Fully Furnished Apartment with Sea and City Views,160000,2,2,90,24,yes,6,761
Beautiful land for sale in Chemlan,257000,,,860,13,no,6,1205
Open Amazing Sea and City View For Sale,500000,3,4,200,28,yes,2,969
HOT DEAL | 24/7 Electricity | Apartment For Sale,300000,2,2,108,28,yes,2,569
Quality finishing flat Adjoining a Garden!,565000,3,3,350,24,no,6,796
Spacious | 24/7 Electricity | Apt For Sale,1390000,3,5,320,28,no,2,535
High Floor | Open Sea/Mountain View | 24/7 Electricity,3000000,4,6,500,28,no,2,969
