id,city,district,province,type,bedrooms,created_at,price_$,latitude,longitude,bathrooms,size_m2
1556,Sahel Alma,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:13.140329+00,420000,33.9808,35.6856,4,180
1557,Sahel Alma,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:13.24526+00,450000,33.9808,35.6856,5,287
1558,Mastita,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:13.355809+00,155000,34.1236,35.6455,2,160
1559,Sahel Alma,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:13.466085+00,140000,33.9808,35.6856,3,160
1560,kfarhbeib,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:13.556246+00,350000,33.9808,35.6856,4,200
1561,Jounieh,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:50:13.653563+00,2500000,33.9808,35.6856,0,1137
1562,Kfarzebian,Kesrouane,Mount Lebanon,Chalet,3,2025-03-16 14:50:13.776458+00,400000,33.9808,35.6856,3,120
1563,Azra,Kesrouane,Mount Lebanon,House/Villa,4,2025-03-16 14:50:13.87031+00,500000,33.9808,35.6856,5,500
1564,Yarzeh,Baabda,Mount Lebanon,Land,0,2025-03-16 14:50:13.970481+00,3300000,33.8333,35.5442,0,1650
1565,Achrafieh,Beirut,Beirut,Apartment,4,2025-03-16 14:50:14.077811+00,380000,33.8886,35.4955,3,240
1566,Dlebta,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:50:14.171966+00,105000,33.9808,35.6856,0,950
1567,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:50:14.308642+00,950000,33.8886,35.4955,4,270
1568,Ras Beirut,Beirut,Beirut,Apartment,3,2025-03-16 14:50:14.404593+00,1100000,33.8886,35.4955,3,300
1569,Kaslik,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:14.496015+00,300000,33.9808,35.6856,4,160
1570,Achrafieh,Beirut,Beirut,Office,4,2025-03-16 14:50:14.593353+00,1500000,33.8886,35.4955,0,352
1571,Haret Sakher,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:14.752039+00,560000,33.9808,35.6856,4,232
1572,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:50:14.839307+00,500000,33.8886,35.4955,3,220
1573,Jbeil,Jbeil,Mount Lebanon,Office,1,2025-03-16 14:50:14.948255+00,65000,34.1236,35.6455,0,60
1574,Mansourieh,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:50:15.052901+00,250000,33.9006,35.6178,5,255
1575,Sahel Alma,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:15.180411+00,300000,33.9808,35.6856,6,169
1576,Hosrayel,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:15.368628+00,3675000,34.1236,35.6455,0,10500
1577,Hosrayel,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:15.522961+00,2100000,34.1236,35.6455,0,6000
1578,Halat,Jbeil,Mount Lebanon,House/Villa,3,2025-03-16 14:50:15.702899+00,170000,34.1236,35.6455,3,187
1579,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:15.88712+00,250000,34.1236,35.6455,5,260
1580,Aamchit,Jbeil,Mount Lebanon,Land,3,2025-03-16 14:50:16.038533+00,2650000,34.1236,35.6455,0,10595
1581,Ras Beirut,Beirut,Beirut,Apartment,4,2025-03-16 14:50:16.13375+00,920000,33.8886,35.4955,4,400
1582,Ras Beirut,Beirut,Beirut,Apartment,2,2025-03-16 14:50:16.225672+00,1500000,33.8886,35.4955,4,300
1583,Sahel Alma,Kesrouane,Mount Lebanon,Apartment,7,2025-03-16 14:50:16.323336+00,450000,33.9808,35.6856,7,550
1584,Adma,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:16.416323+00,750000,33.9808,35.6856,5,380
1585,Ghosta,Kesrouane,Mount Lebanon,Residential Building,0,2025-03-16 14:50:16.507737+00,850000,33.9808,35.6856,0,1000
1586,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:16.596125+00,200000,34.1236,35.6455,3,150
1587,Ras Beirut,Beirut,Beirut,Apartment,2,2025-03-16 14:50:16.682561+00,450000,33.8886,35.4955,3,270
1588,Faraya,Kesrouane,Mount Lebanon,Chalet,1,2025-03-16 14:50:16.785167+00,80000,33.9808,35.6856,1,74
1589,Sabtieh,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:50:16.878689+00,120000,33.9006,35.6178,3,175
1590,Al Jamhour,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:50:16.995222+00,350000,33.8333,35.5442,4,222
1591,Mar Takla,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:50:17.084705+00,700000,33.8333,35.5442,4,210
1592,Jeita,Kesrouane,Mount Lebanon,Apartment,4,2025-03-16 14:50:17.176622+00,190000,33.9808,35.6856,5,300
1593,Fakra,Kesrouane,Mount Lebanon,Chalet,1,2025-03-16 14:50:17.268567+00,130000,33.9808,35.6856,1,55
1594,Adma,Kesrouane,Mount Lebanon,Apartment,5,2025-03-16 14:50:17.359551+00,950000,33.9808,35.6856,5,600
1595,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:17.461891+00,180000,34.1236,35.6455,3,183
1596,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:17.563825+00,190000,34.1236,35.6455,3,183
1597,Adma,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:17.736696+00,600000,33.9808,35.6856,4,340
1598,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:17.855761+00,120000,34.1236,35.6455,2,110
1599,Adma,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:17.948109+00,500000,33.9808,35.6856,4,300
1600,Dekweneh,El Metn,Mount Lebanon,Land,0,2025-03-16 14:50:18.043996+00,1800000,33.9006,35.6178,0,1436
1601,Faraya,Kesrouane,Mount Lebanon,Chalet,2,2025-03-16 14:50:18.144618+00,140000,33.9808,35.6856,1,90
1602,Antelias,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:50:18.248634+00,130000,33.9006,35.6178,2,160
1603,Jbeil,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:18.605189+00,200000,34.1236,35.6455,3,175
1604,Batroun,Batroun,North,Shop,0,2025-03-16 14:50:18.691016+00,450000,34.2556,35.6586,0,176
1605,Batroun,Batroun,North,Shop,0,2025-03-16 14:50:18.815129+00,450000,34.2556,35.6586,0,129
1606,Batroun,Batroun,North,Shop,0,2025-03-16 14:50:18.972481+00,450000,34.2556,35.6586,0,124
1607,Aannaya,Jbeil,Mount Lebanon,Commercial Building,0,2025-03-16 14:50:19.102639+00,1200000,34.1236,35.6455,0,3500
1608,Jbeil,Jbeil,Mount Lebanon,Apartment,5,2025-03-16 14:50:19.208199+00,230000,34.1236,35.6455,5,320
1609,Ras Beirut,Beirut,Beirut,Apartment,3,2025-03-16 14:50:19.302949+00,1000000,33.8886,35.4955,3,250
1610,Lehfed,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:19.398322+00,135000,34.1236,35.6455,0,1668
1611,kfarhbeib,Kesrouane,Mount Lebanon,Residential Building,3,2025-03-16 14:50:19.511747+00,1300000,33.9808,35.6856,3,1600
1612,Zouk Mosbeh,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:50:19.609012+00,140000,33.9808,35.6856,4,140
1613,Ballouneh,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:19.717473+00,180000,33.9808,35.6856,4,185
1614,Ouyoun Al Simen,Kesrouane,Mount Lebanon,Commercial Building,0,2025-03-16 14:50:19.810137+00,935000,33.9808,35.6856,0,700
1615,Nammoura,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:50:19.89912+00,325000,33.9808,35.6856,0,2163
1616,Faytroun,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:50:19.996789+00,1400000,33.9808,35.6856,0,8690
1617,Ras Beirut,Beirut,Beirut,Office,2,2025-03-16 14:50:20.094909+00,600000,33.8886,35.4955,0,160
1618,Ras Beirut,Beirut,Beirut,Office,2,2025-03-16 14:50:20.259883+00,600000,33.8886,35.4955,0,160
1619,Ras Beirut,Beirut,Beirut,Office,1,2025-03-16 14:50:20.376444+00,300000,33.8886,35.4955,0,80
1620,Achrafieh,Beirut,Beirut,Apartment,4,2025-03-16 14:50:20.499905+00,2000000,33.8886,35.4955,5,500
1621,Nahr Ibrahim,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:20.599408+00,185000,34.1236,35.6455,3,240
1622,Adma,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:20.707635+00,420000,33.9808,35.6856,4,275
1623,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:20.804558+00,160000,34.1236,35.6455,3,160
1624,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:20.927488+00,140000,34.1236,35.6455,3,140
1625,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:21.132581+00,140000,34.1236,35.6455,3,140
1626,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:21.229275+00,160000,34.1236,35.6455,3,160
1627,Maad,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:21.335234+00,300000,34.1236,35.6455,0,5420
1628,Ras Beirut,Beirut,Beirut,Residential Building,0,2025-03-16 14:50:21.430221+00,7500000,33.8886,35.4955,0,3080
1629,Baabda,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:50:21.577864+00,600000,33.8333,35.5442,4,396
1630,Fanar,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:50:21.676217+00,185000,33.9006,35.6178,2,120
1631,Maaysra,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:21.784058+00,125000,33.9808,35.6856,3,220
1632,Maaysra,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:21.900728+00,175000,33.9808,35.6856,3,350
1633,Maaysra,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:22.025731+00,130000,33.9808,35.6856,3,220
1634,Tabarja,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:50:22.116793+00,2000000,33.9808,35.6856,0,2628
1635,Down Town,Beirut,Beirut,Shop,0,2025-03-16 14:50:22.237041+00,1120000,33.8886,35.4955,0,280
1636,Louaize,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:50:22.332229+00,525000,33.8333,35.5442,3,250
1637,Down Town,Beirut,Beirut,Shop,0,2025-03-16 14:50:22.424842+00,1500000,33.8886,35.4955,0,250
1638,Aamchit,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:22.53488+00,185000,34.1236,35.6455,3,185
1639,Chiyah,Beirut,Beirut,Land,0,2025-03-16 14:50:22.627292+00,1200000,33.8886,35.4955,0,470
1640,Ghadir,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:22.716846+00,250000,33.9808,35.6856,3,185
1641,Faraya,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:50:22.847175+00,400000,33.9808,35.6856,0,1250
1642,Ras Beirut,Beirut,Beirut,Apartment,2,2025-03-16 14:50:22.938184+00,650000,33.8886,35.4955,3,155
1643,Ras Beirut,Beirut,Beirut,Apartment,3,2025-03-16 14:50:23.036038+00,950000,33.8886,35.4955,3,225
1644,Blat,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:23.128371+00,260000,34.1236,35.6455,0,800
1645,Hboub,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:23.239397+00,200000,34.1236,35.6455,4,175
1646,Aamchit,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:23.368616+00,850000,34.1236,35.6455,0,1300
1647,Aamchit,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:23.521285+00,350000,34.1236,35.6455,0,3050
1648,Yarzeh,Baabda,Mount Lebanon,Land,0,2025-03-16 14:50:23.609281+00,4270000,33.8333,35.5442,0,2135
1649,Yarzeh,Baabda,Mount Lebanon,Land,0,2025-03-16 14:50:23.697777+00,2100000,33.8333,35.5442,0,1465
1650,Kaslik,Kesrouane,Mount Lebanon,Office,2,2025-03-16 14:50:23.812271+00,150000,33.9808,35.6856,0,120
1651,Nahr Ibrahim,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:50:23.915667+00,215000,34.1236,35.6455,2,154
1652,Nahr Ibrahim,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:24.003764+00,180000,34.1236,35.6455,3,165
1653,Nahr Ibrahim,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:24.102608+00,250000,34.1236,35.6455,3,165
1654,Nahr Ibrahim,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:24.193307+00,280000,34.1236,35.6455,3,265
1655,Nahr Ibrahim,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:24.296829+00,180000,34.1236,35.6455,3,180
1656,Blat,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:50:24.4035+00,115000,34.1236,35.6455,2,110
1657,Sarba,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:24.541704+00,245000,33.9808,35.6856,3,200
1658,Ghadir,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:50:24.706884+00,210000,33.9808,35.6856,2,125
1659,Ghadir,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:24.801198+00,230000,33.9808,35.6856,3,165
1660,Hazmieh,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:50:24.986663+00,360000,33.8333,35.5442,3,225
1661,Yarzeh,Baabda,Mount Lebanon,Land,0,2025-03-16 14:50:25.092797+00,1600000,33.8333,35.5442,0,1300
1662,Ras Beirut,Beirut,Beirut,Apartment,4,2025-03-16 14:50:25.212359+00,1700000,33.8886,35.4955,5,410
1663,Achrafieh,Beirut,Beirut,Apartment,4,2025-03-16 14:50:25.331558+00,795000,33.8886,35.4955,4,380
1664,Bouar,Kesrouane,Mount Lebanon,Apartment,4,2025-03-16 14:50:25.439299+00,450000,33.9808,35.6856,4,350
1665,Down Town,Beirut,Beirut,Residential Building,0,2025-03-16 14:50:25.575295+00,6300000,33.8886,35.4955,0,816
1666,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:50:25.667259+00,1200000,33.8886,35.4955,4,540
1667,Ras Osta,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:25.784932+00,320000,34.1236,35.6455,0,1426
1668,Kfour,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:50:25.879972+00,130000,33.9808,35.6856,2,232
1669,Kfour,Kesrouane,Mount Lebanon,Apartment,5,2025-03-16 14:50:25.972845+00,265000,33.9808,35.6856,6,272
1670,Ain Kfaa,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:26.072557+00,180000,34.1236,35.6455,0,6400
1671,Ras Osta,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:26.178452+00,64000,34.1236,35.6455,0,960
1672,Ouyoun Al Simen,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:50:26.369347+00,460000,33.9808,35.6856,0,920
1673,Zouk Mikael,Kesrouane,Mount Lebanon,Warehouse,1,2025-03-16 14:50:26.46791+00,100000,33.9808,35.6856,0,220
1674,Hazmieh,Baabda,Mount Lebanon,Land,0,2025-03-16 14:50:26.555991+00,2500000,33.8333,35.5442,0,1269
1675,Down Town,Beirut,Beirut,Apartment,2,2025-03-16 14:50:26.654247+00,1366000,33.8886,35.4955,3,187
1676,Aamchit,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:26.747197+00,150000,34.1236,35.6455,0,600
1677,Shayle,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:26.897623+00,210000,33.9808,35.6856,3,210
1678,Achrafieh,Beirut,Beirut,Apartment,4,2025-03-16 14:50:26.986658+00,1700000,33.8886,35.4955,6,630
1679,Sarba,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:27.079348+00,190000,33.9808,35.6856,3,180
1680,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:50:27.17256+00,710000,33.8886,35.4955,3,250
1681,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:50:27.2591+00,650000,33.8886,35.4955,3,250
1682,Faytroun,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:50:27.346493+00,250000,33.9808,35.6856,0,1258
1683,Kaslik,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:27.46259+00,300000,33.9808,35.6856,3,170
1684,Achrafieh,Beirut,Beirut,Apartment,2,2025-03-16 14:50:27.588495+00,1200000,33.8886,35.4955,0,190
1685,Jounieh,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:27.687049+00,220000,33.9808,35.6856,3,165
1686,Ras Beirut,Beirut,Beirut,Apartment,2,2025-03-16 14:50:27.791015+00,270000,33.8886,35.4955,2,120
1687,Achrafieh,Beirut,Beirut,Office,2,2025-03-16 14:50:27.897207+00,275000,33.8886,35.4955,0,180
1688,Halat,Jbeil,Mount Lebanon,Shop,3,2025-03-16 14:50:27.992048+00,180000,34.1236,35.6455,0,190
1689,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:50:28.083176+00,650000,33.8886,35.4955,3,265
1690,Down Town,Beirut,Beirut,Apartment,3,2025-03-16 14:50:28.183645+00,1500000,33.8886,35.4955,3,250
1691,Down Town,Beirut,Beirut,Apartment,4,2025-03-16 14:50:28.28974+00,3500000,33.8886,35.4955,5,500
1692,Zouk Mosbeh,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:50:28.388503+00,2000000,33.9808,35.6856,0,1710
1693,Jounieh,Kesrouane,Mount Lebanon,Office,1,2025-03-16 14:50:28.489114+00,150000,33.9808,35.6856,0,90
1694,Sarba,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:50:28.57865+00,114000,33.9808,35.6856,2,110
1695,Ras El Nabeh,Beirut,Beirut,Apartment,2,2025-03-16 14:50:28.677286+00,400000,33.8886,35.4955,3,170
1696,Ras El Nabeh,Beirut,Beirut,Apartment,3,2025-03-16 14:50:28.772147+00,450000,33.8886,35.4955,4,245
1697,Sarba,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:50:28.865743+00,98000,33.9808,35.6856,2,110
1698,Jbeil,Jbeil,Mount Lebanon,Shop,1,2025-03-16 14:50:29.100517+00,250000,34.1236,35.6455,0,125
1699,Yarzeh,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:50:29.265175+00,1200000,33.8333,35.5442,4,300
1700,Yarzeh,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:50:29.353674+00,600000,33.8333,35.5442,4,206
1701,Wadi Chahrour,Baabda,Mount Lebanon,House/Villa,5,2025-03-16 14:50:29.446584+00,825000,33.8333,35.5442,6,1200
1702,Achrafieh,Beirut,Beirut,Apartment,2,2025-03-16 14:50:29.534036+00,250000,33.8886,35.4955,2,120
1703,Achrafieh,Beirut,Beirut,Apartment,2,2025-03-16 14:50:29.705381+00,280000,33.8886,35.4955,2,135
1704,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:50:29.817765+00,500000,33.8886,35.4955,3,250
1705,Monteverde,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:50:29.92123+00,850000,33.9006,35.6178,5,450
1706,New Rawda,El Metn,Mount Lebanon,Apartment,5,2025-03-16 14:50:30.341016+00,250000,33.9006,35.6178,4,360
1707,Fakra,Kesrouane,Mount Lebanon,Chalet,2,2025-03-16 14:50:30.457321+00,85000,33.9808,35.6856,3,110
1708,Aamchit,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:30.958838+00,1000000,34.1236,35.6455,0,10439
1709,Hosrayel,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:31.04567+00,135000,34.1236,35.6455,3,160
1710,Blat,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:31.157601+00,150000,34.1236,35.6455,0,937
1711,Kaslik,Kesrouane,Mount Lebanon,Office,1,2025-03-16 14:50:31.255409+00,100000,33.9808,35.6856,0,50
1712,Sarba,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:31.379611+00,140000,33.9808,35.6856,3,150
1713,Aatchane,El Metn,Mount Lebanon,Land,0,2025-03-16 14:50:31.472071+00,1100000,33.9006,35.6178,0,2212
1714,Aatchane,El Metn,Mount Lebanon,Land,0,2025-03-16 14:50:31.662906+00,1800000,33.9006,35.6178,0,3776
1715,Bhorsaf,El Metn,Mount Lebanon,Land,0,2025-03-16 14:50:31.873672+00,2500000,33.9006,35.6178,0,5001
1716,Bejje,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:31.965567+00,600000,34.1236,35.6455,0,17032
1717,Fatqa,Kesrouane,Mount Lebanon,House/Villa,4,2025-03-16 14:50:32.07448+00,1100000,33.9808,35.6856,7,500
1718,Baskinta,El Metn,Mount Lebanon,Land,0,2025-03-16 14:50:32.166174+00,135000,33.9006,35.6178,0,1034
1719,Halat,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:32.254748+00,300000,34.1236,35.6455,0,831
1720,Lehfed,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:32.352126+00,390000,34.1236,35.6455,0,3930
1721,Yarzeh,Baabda,Mount Lebanon,Apartment,3,2025-03-16 14:50:32.444652+00,1450000,33.8333,35.5442,4,460
1722,Jal el Dib,El Metn,Mount Lebanon,Apartment,2,2025-03-16 14:50:32.540585+00,150000,33.9006,35.6178,2,125
1723,Hboub,Jbeil,Mount Lebanon,Shop,1,2025-03-16 14:50:32.630429+00,200000,34.1236,35.6455,0,180
1724,Faytroun,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:50:32.714606+00,400000,33.9808,35.6856,0,1200
1725,Monteverde,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:50:32.815469+00,840000,33.9006,35.6178,3,420
1726,Faraya,Kesrouane,Mount Lebanon,Chalet,3,2025-03-16 14:50:33.14593+00,105000,33.9808,35.6856,2,120
1727,Kfarzebian,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:50:33.236483+00,390000,33.9808,35.6856,0,3900
1728,Adma,Kesrouane,Mount Lebanon,Apartment,4,2025-03-16 14:50:33.348444+00,340000,33.9808,35.6856,4,320
1729,Laqlouq,Jbeil,Mount Lebanon,House/Villa,3,2025-03-16 14:50:33.451483+00,600000,34.1236,35.6455,4,1000
1730,Monsef,Jbeil,Mount Lebanon,Chalet,3,2025-03-16 14:50:33.546224+00,350000,34.1236,35.6455,2,170
1731,Zaarour,El Metn,Mount Lebanon,Chalet,6,2025-03-16 14:50:33.651859+00,600000,33.9006,35.6178,2,240
1732,Chikhane,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:33.757189+00,160000,34.1236,35.6455,0,964
1733,Laqlouq,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:33.85538+00,112000,34.1236,35.6455,0,800
1734,Kfarzebian,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:50:33.991695+00,350000,33.9808,35.6856,0,2660
1735,Kfar Aabida,Batroun,North,Land,0,2025-03-16 14:50:34.086471+00,320000,34.2556,35.6586,0,1600
1736,Aannaya,Jbeil,Mount Lebanon,Commercial Building,0,2025-03-16 14:50:34.203924+00,1300000,34.1236,35.6455,0,3000
1737,Achrafieh,Beirut,Beirut,Apartment,3,2025-03-16 14:50:34.289879+00,1200000,33.8886,35.4955,3,450
1738,Broumana,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:50:34.376651+00,240000,33.9006,35.6178,2,240
1739,Jounieh,Kesrouane,Mount Lebanon,Residential Building,0,2025-03-16 14:50:34.465157+00,1100000,33.9808,35.6856,0,700
1740,Ballouneh,Kesrouane,Mount Lebanon,Apartment,2,2025-03-16 14:50:34.570233+00,150000,33.9808,35.6856,2,170
1741,Braij,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:50:34.688718+00,110000,34.1236,35.6455,2,120
1742,Braij,Jbeil,Mount Lebanon,Apartment,2,2025-03-16 14:50:34.783002+00,106000,34.1236,35.6455,2,118
1743,Bouar,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:34.882805+00,150000,33.9808,35.6856,1,140
1744,Jbeil,Jbeil,Mount Lebanon,House/Villa,4,2025-03-16 14:50:34.988654+00,310000,34.1236,35.6455,4,310
1745,Jbeil,Jbeil,Mount Lebanon,House/Villa,3,2025-03-16 14:50:35.080391+00,330000,34.1236,35.6455,3,310
1746,Jbeil,Jbeil,Mount Lebanon,House/Villa,3,2025-03-16 14:50:35.263834+00,270000,34.1236,35.6455,3,310
1747,Ain Najem,El Metn,Mount Lebanon,Apartment,3,2025-03-16 14:50:35.380862+00,350000,33.9006,35.6178,3,220
1748,Jbeil,Jbeil,Mount Lebanon,House/Villa,5,2025-03-16 14:50:35.590027+00,480000,34.1236,35.6455,4,450
1749,Ras Osta,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:35.916711+00,125000,34.1236,35.6455,0,890
1750,Adonis,Kesrouane,Mount Lebanon,Apartment,3,2025-03-16 14:50:36.00003+00,110000,33.9808,35.6856,2,160
1751,Dbayeh,El Metn,Mount Lebanon,Land,0,2025-03-16 14:50:36.106856+00,1575000,33.9006,35.6178,0,2253
1752,Mechmech,Jbeil,Mount Lebanon,Chalet,2,2025-03-16 14:50:36.236118+00,90000,34.1236,35.6455,2,78
1753,Mechmech,Jbeil,Mount Lebanon,Chalet,2,2025-03-16 14:50:36.341847+00,73000,34.1236,35.6455,2,81
1754,Mechmech,Jbeil,Mount Lebanon,Chalet,2,2025-03-16 14:50:36.436203+00,80000,34.1236,35.6455,2,81
1755,Mechmech,Jbeil,Mount Lebanon,Chalet,2,2025-03-16 14:50:36.602356+00,88000,34.1236,35.6455,2,79
1756,Mechmech,Jbeil,Mount Lebanon,Chalet,2,2025-03-16 14:50:36.800844+00,98000,34.1236,35.6455,2,83
1757,Mechmech,Jbeil,Mount Lebanon,Chalet,2,2025-03-16 14:50:36.958961+00,71000,34.1236,35.6455,2,81
1758,Achrafieh,Beirut,Beirut,Apartment,4,2025-03-16 14:50:37.06549+00,2200000,33.8886,35.4955,4,430
1759,Achrafieh,Beirut,Beirut,Apartment,2,2025-03-16 14:50:37.155944+00,518000,33.8886,35.4955,2,115
1760,Achrafieh,Beirut,Beirut,Apartment,2,2025-03-16 14:50:37.249122+00,680000,33.8886,35.4955,3,151
1761,Achrafieh,Beirut,Beirut,Apartment,4,2025-03-16 14:50:37.346476+00,2800000,33.8886,35.4955,5,500
1762,Sarba,Kesrouane,Mount Lebanon,Shop,1,2025-03-16 14:50:37.527763+00,65000,33.9808,35.6856,0,45
1763,Klayaat,Kesrouane,Mount Lebanon,Land,0,2025-03-16 14:50:37.756093+00,180000,33.9808,35.6856,0,856
1764,Jounieh,Kesrouane,Mount Lebanon,Office,2,2025-03-16 14:50:37.868943+00,120000,33.9808,35.6856,0,120
1765,Gherfine,Jbeil,Mount Lebanon,Land,0,2025-03-16 14:50:37.956613+00,1400000,34.1236,35.6455,0,7000
1766,Fanar,El Metn,Mount Lebanon,Apartment,4,2025-03-16 14:50:38.053276+00,280000,33.9006,35.6178,5,260
1767,Jbeil,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:38.153154+00,250000,34.1236,35.6455,3,160
1768,Blat,Jbeil,Mount Lebanon,Apartment,3,2025-03-16 14:50:38.252169+00,100000,34.1236,35.6455,2,127
