City,District,Province,Type,Size m²,Bedrooms,Bathrooms,Price $,Latitude,Longitude
Achrafieh,Beirut,Beirut,Apartment,220,3,3,490000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,170,3,2,300000,33.8886,35.4955
Bouchrieh,El Metn,Mount Lebanon,Shop,650,3,0,900000,33.9006,35.6178
Bouchrieh,El Metn,Mount Lebanon,Apartment,125,3,2,125000,33.9006,35.6178
Bouchrieh,El Metn,Mount Lebanon,Apartment,110,2,2,120000,33.9006,35.6178
Qannabet Broumana,El Metn,Mount Lebanon,Land,500,0,0,420000,33.9006,35.6178
Mar Chaaya,El Metn,Mount Lebanon,Land,867,0,0,550000,33.9006,35.6178
Ghadir,Kesrouane,Mount Lebanon,Apartment,210,3,3,215000,33.9808,35.6856
Laqlouq,Jbeil,Mount Lebanon,Land,1756,0,0,150000,34.1236,35.6455
Zouk Mikael,Kesrouane,Mount Lebanon,Warehouse,1430,1,0,800000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,75,1,1,240000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,102,2,2,320000,33.8886,35.4955
