Address,Price $,Size m²,Bedrooms,Bathrooms,Furnished
"Beit Meri, El Metn, Mount Lebanon",275000,200,3,3,no
"Beit el Chaar, El Metn, Mount Lebanon",160000,153,3,3,no
"ain al-tineh, Beirut, Beirut",650000,250,3,4,yes
"Fanar, El Metn, Mount Lebanon",500000,260,3,5,no
"Bqennaya, El Metn, Mount Lebanon",400000,260,4,5,yes
"Yarzeh, Baabda, Mount Lebanon",515000,248,3,5,no
"Hbous, El Metn, Mount Lebanon",220000,210,3,3,no
"Adma, Kesrouane, Mount Lebanon",205000,165,3,3,partly
"Dekwaneh, El Metn, Mount Lebanon",105000,115,2,2,no
"Ain Aar, El Metn, Mount Lebanon",440000,245,3,4,no
"Elissar, El Metn, Mount Lebanon",450000,280,3,3,no
"Bsalim, El Metn, Mount Lebanon",600000,317,3,3,no
"Barbara, Jbeil, Mount Lebanon",410000,208,3,3,no
"Kornet Chehwan, El Metn, Mount Lebanon",550000,1300,N/A,N/A,no
"Baabdat, El Metn, Mount Lebanon",300000,207,3,4,no
"Dekwaneh, El Metn, Mount Lebanon",180000,210,3,2,partly
"Zalka, El Metn, Mount Lebanon",190000,175,3,2,no
"Achrafieh, Beirut, Beirut",350000,156,3,2,yes
"Kfour (Kesrouane), Kesrouane, Mount Lebanon",1700000,1512,8,8,partly
"Baabda, Baabda, Mount Lebanon",420000,200,3,5,no
"Hboub, Jbeil, Mount Lebanon",110000,135,2,2,no
"Fanar, El Metn, Mount Lebanon",260000,145,3,3,no
"Ain al-Mraiseh, Beirut, Beirut",390000,107,2,2,no
"Ain Saadeh, El Metn, Mount Lebanon",530000,350,4,5,no
"Baabda, Baabda, Mount Lebanon",1500000,550,3,5,no
"Blat, Jbeil, Mount Lebanon",310000,332,3,5,no
"Achrafieh, Beirut, Beirut",320000,110,1,2,yes
"Halat, Jbeil, Mount Lebanon",120000,155,3,2,no
"Zalka, El Metn, Mount Lebanon",200000,145,3,2,yes
"Achrafieh, Beirut, Beirut",600000,235,3,3,no
"Antelias, El Metn, Mount Lebanon",165000,110,2,2,no
"Antelias, El Metn, Mount Lebanon",150000,180,3,2,yes
"El Biyada, El Metn, Mount Lebanon",500000,250,3,3,no
"Ain Aar, El Metn, Mount Lebanon",312000,195,3,4,no
"Sahel Alma, Kesrouane, Mount Lebanon",155000,150,3,3,partly
"Achrafieh, Beirut, Beirut",990000,240,3,3,no
"Baabda, Baabda, Mount Lebanon",1155000,550,4,6,no
"Bsefrine, El Metn, Mount Lebanon",148000,123,2,2,no
"Baabda, Baabda, Mount Lebanon",570000,330,4,5,no
"Verdun, Beirut, Beirut",1300000,500,4,6,yes
"Yarzeh, Baabda, Mount Lebanon",900000,297,3,5,partly
"Baabdat, El Metn, Mount Lebanon",420000,280,3,4,no
"Baabdat, El Metn, Mount Lebanon",300000,185,3,4,no
"El Biyada, El Metn, Mount Lebanon",620000,325,3,4,no
"Ain Aar, El Metn, Mount Lebanon",700000,400,4,5,no
"Ain Aar, El Metn, Mount Lebanon",1000000,400,4,5,no
"Kornet Chehwan, El Metn, Mount Lebanon",160000,110,1,2,no
"Elissar, El Metn, Mount Lebanon",300000,400,3,3,no
"Baabdat, El Metn, Mount Lebanon",300000,230,3,4,no
"Boutchay, Baabda, Mount Lebanon",160000,140,3,3,no
"Mtayleb, El Metn, Mount Lebanon",875000,320,4,4,yes
"Mtayleb, El Metn, Mount Lebanon",700000,400,3,4,no
"ain al-tineh, Beirut, Beirut",750000,300,3,4,no
"Roumieh, El Metn, Mount Lebanon",270000,220,3,4,no
"Dawhet El Hoss, Aley, Mount Lebanon",250000,210,3,3,no
"Ras Maska, Koura, North",160000,140,3,2,no
"Achrafieh, Beirut, Beirut",1300000,530,3,5,no
"Ouyoun Broummana, El Metn, Mount Lebanon",450000,350,4,4,yes
"Bolonia, El Metn, Mount Lebanon",150000,142,2,2,no
"Ouyoun Al Simen, Kesrouane, Mount Lebanon",195000,125,2,2,yes
"Achrafieh, Beirut, Beirut",450000,120,2,2,yes
"Achrafieh, Beirut, Beirut",320000,80,1,1,yes
"Hemlaya, El Metn, Mount Lebanon",185000,164,3,3,no
"Mansourieh, El Metn, Mount Lebanon",360000,360,3,3,no
"Broummana, El Metn, Mount Lebanon",450000,343,4,4,partly
"Naqqache, El Metn, Mount Lebanon",475000,343,4,4,no
"Rabweh, El Metn, Mount Lebanon",157000,153,2,2,no
"Kaslik, Kesrouane, Mount Lebanon",119999,33,1,1,yes
"Achrafieh, Beirut, Beirut",250000,160,2,2,no
"Rabweh, El Metn, Mount Lebanon",110000,125,2,2,no
"Unesco, Beirut, Beirut",800000,270,3,5,no
"Rawche, Beirut, Beirut",1800000,450,4,6,yes
"Achrafieh, Beirut, Beirut",1300000,380,3,4,no
"Rabweh, El Metn, Mount Lebanon",400000,390,3,4,no
"Ballouneh, Kesrouane, Mount Lebanon",220000,190,4,4,no
